Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
2,1993,456,216,21.1,28.4,25.541,1.794
3,1993,0,744,20.2,29.7,25.858,1.618
4,1993,0,720,19.5,28.7,25.12,1.715
5,1993,0,744,18,27.3,23.223,1.648
6,1993,0,720,16.7,26.4,22.433,1.504
7,1993,0,744,14.1,26,21.133,2.025
8,1993,0,744,18.1,26,22.29,1.636
9,1993,0,720,17.3,26.8,22.529,1.838
10,1993,0,744,17.1,26.1,22.557,1.71
11,1993,0,720,19.2,28.5,24.597,1.363
12,1993,0,744,21.5,29,25.657,1.511
1,1994,0,744,21.6,29.1,25.653,1.506
2,1994,0,672,22.8,30.4,27.062,1.579
3,1994,1,743,23.5,30.3,26.858,1.495
4,1994,0,720,21.3,29.3,25.415,1.392
5,1994,0,744,18.1,27.9,23.866,1.882
6,1994,9,711,17.5,26.4,22.611,1.839
7,1994,13,731,17.9,26.3,22.365,1.867
8,1994,3,741,16.3,25.8,21.287,1.563
9,1994,64,656,14.7,25.7,20.885,2.062
10,1994,38,706,16.1,25.9,22.249,1.929
11,1994,14,706,17.8,26.6,23.263,1.369
12,1994,61,683,21.2,28.7,24.67,1.509
1,1995,7,737,21.6,28.9,25.346,1.525
2,1995,5,667,23.5,30.1,26.667,1.09
3,1995,19,725,22.2,30.1,26.303,1.501
4,1995,70,650,19.2,29.2,24.621,1.499
5,1995,7,737,20.9,28.4,24.928,1.518
6,1995,19,701,17.2,30.9,24.48,2.471
7,1995,2,742,17.4,26.2,22.626,1.8
8,1995,13,731,17.9,26.8,22.687,1.531
9,1995,11,709,16.2,26.1,21.895,1.41
10,1995,9,735,16.4,26.2,22.18,1.828
11,1995,10,710,18.2,27.2,23.452,1.519
12,1995,10,734,17.8,26.3,22.897,1.771
1,1996,22,722,19.1,32,24.578,1.804
2,1996,2,694,20.9,29.5,25.585,1.757
3,1996,0,744,20.1,29.5,25.434,1.926
4,1996,0,720,18.5,26.5,22.891,1.339
5,1996,744,0,,,,
6,1996,720,0,,,,
7,1996,744,0,,,,
8,1996,744,0,,,,
9,1996,720,0,,,,
10,1996,576,168,18.7,26.4,22.909,1.911
11,1996,1,719,18.7,28.4,24.2,1.925
12,1996,0,744,20.8,28.2,25.426,1.24
1,1997,0,744,20.3,28.4,25.53,1.407
2,1997,2,670,22.8,29.4,26.759,1.255
3,1997,15,729,21.2,29.7,25.791,1.854
4,1997,1,719,18.9,29.6,25.063,2.154
5,1997,3,741,17.5,27.1,22.843,2.037
6,1997,0,720,15.8,25.1,21.406,1.789
7,1997,12,732,14.9,25.3,21.517,2.027
8,1997,0,744,14.6,25.7,20.755,2.095
9,1997,3,717,15.5,27.1,21.172,2.065
10,1997,0,744,17,26.1,22.458,1.61
11,1997,0,720,19.1,27.7,23.69,1.303
12,1997,0,744,21.7,27,24.376,0.925
1,1998,0,744,22,29.4,25.266,1.22
2,1998,0,672,22,27.4,24.81,0.914
3,1998,0,744,21.5,27.6,24.847,0.937
4,1998,1,719,20.8,27.1,24.493,0.968
5,1998,0,744,17.2,27,22.969,1.872
6,1998,3,717,18.7,26.8,22.405,1.122
7,1998,0,744,16.7,25.2,21.345,1.75
8,1998,2,742,13.1,27.9,21.953,1.968
9,1998,0,720,15.4,28,22.056,1.871
10,1998,198,546,15.9,30.1,22.991,2.169
11,1998,288,432,21.8,29.4,25.671,1.848
12,1998,0,744,21.3,28.7,26.266,1.376
1,1999,0,744,22,30,26.597,1.499
2,1999,0,672,21.6,29.7,26.357,1.726
3,1999,1,743,23.4,29.4,26.732,1.265
4,1999,0,720,21.5,29,26.187,1.345
5,1999,0,744,18.6,28.7,23.94,2.207
6,1999,1,719,18.2,27.5,23.26,1.945
7,1999,1,743,17.2,27.2,23.095,2.131
8,1999,0,744,16.8,27.5,22.699,2.103
9,1999,2,718,17.3,25.5,22.151,1.373
10,1999,0,744,18.1,25.8,23.12,1.228
11,1999,0,720,18.4,28,24.557,1.732
12,1999,0,744,21.1,29.6,25.636,1.538
1,2000,4,740,19.9,29.9,26.136,1.436
2,2000,1,695,22.3,29.8,26.744,1.654
3,2000,3,741,22.9,29.7,26.84,1.53
4,2000,0,720,20.4,28.9,25.973,1.632
5,2000,0,744,19.8,28.3,24.251,1.408
6,2000,1,719,16.2,26.4,21.91,1.911
7,2000,0,744,17.3,25.7,21.86,1.62
8,2000,0,744,14.9,26.2,21.765,2.04
9,2000,0,720,16.9,26.2,23.001,1.594
10,2000,1,743,16.7,27.5,22.954,1.551
11,2000,0,720,18.1,27.7,24.675,2.017
12,2000,0,744,21.4,29.9,25.894,1.577
1,2001,0,744,22.5,29.6,26.235,1.624
2,2001,0,672,20.4,28.9,26.27,1.678
3,2001,5,739,22.7,29,26.279,1.407
4,2001,0,720,21.1,28.3,25.36,1.394
5,2001,0,744,17.5,26.5,23.576,1.913
6,2001,0,720,17.6,26.7,23.612,1.52
7,2001,0,744,16.3,26.3,22.295,2.051
8,2001,0,744,16.5,25.9,22.119,2.103
9,2001,0,720,15.9,26.4,21.636,1.577
10,2001,0,744,18.2,25.5,22.573,1.375
11,2001,0,720,18.8,26.9,23.934,1.459
12,2001,0,744,19.8,28.1,24.452,1.521
1,2002,12,732,22.2,28.8,26.302,1.462
2,2002,0,672,23.1,29.8,26.799,1.542
3,2002,0,744,22,29.4,26.607,1.354
4,2002,1,719,19.2,29.1,25.776,1.563
5,2002,0,744,18.1,27.5,23.612,1.879
6,2002,0,720,18.6,27.1,22.858,1.446
7,2002,0,744,16,26.7,22.461,1.859
8,2002,0,744,16.4,26.3,21.4,1.995
9,2002,0,720,17.1,25.5,22.235,1.586
10,2002,0,744,18.4,28.1,22.628,1.956
11,2002,0,720,20.5,28,24.957,1.413
12,2002,0,744,21.1,28.9,25.426,1.15
1,2003,1,743,22.6,30.6,26.227,1.476
2,2003,3,669,21.2,29.1,26.258,1.669
3,2003,8,736,21.2,29.3,25.78,1.49
4,2003,1,719,20.8,28.4,25.139,1.531
5,2003,0,744,18.2,27.3,24.045,1.742
6,2003,0,720,15.5,26.2,22.561,1.983
7,2003,0,744,16.8,26.4,22.804,1.808
8,2003,0,744,15.7,26.1,22.268,2.237
9,2003,1,719,15.1,26.4,23.082,2.009
10,2003,0,744,16.8,27,22.652,1.69
11,2003,0,720,18.3,27.8,23.721,1.604
12,2003,0,744,19.4,27.5,24.829,1.367
1,2004,0,744,20.4,29,25.784,1.829
2,2004,0,696,22.7,29.6,26.506,1.341
3,2004,0,744,22.6,29.4,26.837,1.089
4,2004,0,720,21.7,29.8,26.908,1.229
5,2004,0,744,18.5,28,25.019,2.022
6,2004,0,720,18.4,27.3,23.304,1.762
7,2004,0,744,15.7,25.3,21.601,2.066
8,2004,0,744,15.5,26.3,22.411,1.955
9,2004,0,720,15.6,26.4,21.98,2.102
10,2004,0,744,19.3,26,23.092,1.355
11,2004,0,720,17.6,27.2,23.412,1.587
12,2004,0,744,18.5,28.9,25.298,2.074
1,2005,0,744,20.3,29,26.502,1.605
2,2005,1,671,21.4,29,26.267,1.266
3,2005,0,744,21.7,28.8,25.886,1.465
4,2005,0,720,19.9,28.5,25.194,1.625
5,2005,0,744,17.6,26.2,23.014,1.675
6,2005,0,720,18.3,25.4,22.284,1.454
7,2005,0,744,17.3,26.1,22.22,1.706
8,2005,1,743,16.2,26,21.634,2.067
9,2005,0,720,18.3,26.4,23.29,1.296
10,2005,0,744,18.1,28.9,24.378,1.826
11,2005,0,720,19.7,28.2,24.717,1.494
12,2005,0,744,22.7,28.6,25.56,1.183
1,2006,0,744,21.4,29.2,26.471,1.453
2,2006,0,672,23.5,29.5,26.701,1.292
3,2006,1,743,22.8,30,26.982,1.491
4,2006,0,720,21.7,29.5,26.002,1.506
5,2006,0,744,17.3,27.9,23.805,2.32
6,2006,0,720,17,27.3,23.146,2.123
7,2006,0,744,16.6,27,22.681,2.108
8,2006,0,744,15.2,25.9,22.488,1.703
9,2006,0,720,18.1,26.5,22.261,1.633
10,2006,0,744,16.4,27.2,22.897,1.74
11,2006,0,720,19.2,28.1,23.797,1.656
12,2006,0,744,19.8,28.6,24.596,1.57
1,2007,0,744,21.1,28.3,25.354,1.346
2,2007,0,672,23,29.9,26.517,1.398
3,2007,0,744,23,29,26.143,1.214
4,2007,1,719,20.2,28.5,25.472,1.525
5,2007,0,744,19.9,27.5,24.788,1.524
6,2007,0,720,18.7,27,23.835,1.554
7,2007,0,744,16.6,26.7,22.749,1.64
8,2007,0,744,18.4,26.1,22.82,1.624
9,2007,0,720,17.8,26.5,22.719,1.537
10,2007,3,741,19.2,27.8,24.05,1.151
11,2007,0,720,19.9,28,24.71,1.26
12,2007,0,744,20.5,27.5,24.232,1.147
1,2008,0,744,22.3,27.6,25.417,1.081
2,2008,0,696,21.1,28.8,26.2,1.402
3,2008,1,743,21.5,28.9,26.327,1.591
4,2008,0,720,19.7,28.5,25.081,1.712
5,2008,0,744,17.1,28.1,23.947,2.322
6,2008,0,720,17.2,27,23.146,1.816
7,2008,0,744,15.7,26.3,21.416,1.955
8,2008,0,744,16,26.1,22.549,1.463
9,2008,4,716,19.3,25.4,23.023,1.192
10,2008,0,744,19,27.1,24.074,1.605
11,2008,0,720,21.9,28.4,25.461,1.179
12,2008,0,744,20.3,28.5,25.625,1.382
1,2009,0,744,21.9,29.8,26.444,1.395
2,2009,0,672,23.2,29.8,27.18,1.308
