Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
2,1993,456,216,27.1,29.1,27.897,0.258
3,1993,1,743,26.5,28.3,27.248,0.403
4,1993,0,720,25.9,27.8,26.737,0.286
5,1993,0,744,24.6,27.1,25.851,0.706
6,1993,0,720,23.2,25,24.045,0.394
7,1993,0,744,22.6,24.7,23.798,0.327
8,1993,0,744,22.7,25,23.921,0.471
9,1993,720,0,,,,
10,1993,744,0,,,,
11,1993,720,0,,,,
12,1993,744,0,,,,
1,1994,744,0,,,,
2,1994,672,0,,,,
3,1994,744,0,,,,
4,1994,720,0,,,,
5,1994,744,0,,,,
6,1994,720,0,,,,
7,1994,13,731,22.6,25.4,24.58,0.423
8,1994,3,741,22.1,24.4,23.747,0.351
9,1994,64,656,22.7,24.5,23.451,0.354
10,1994,38,706,22.8,26.6,24.911,0.753
11,1994,14,706,23,26.3,24.652,0.854
12,1994,62,682,24.3,26.1,25.172,0.394
1,1995,7,737,24.5,27.8,26.223,0.618
2,1995,5,667,25.3,28.2,26.787,0.466
3,1995,19,725,26,28.7,27.391,0.477
4,1995,70,650,25.8,27.4,26.783,0.247
5,1995,7,737,25.6,27.6,26.536,0.379
6,1995,17,703,25.1,26.4,25.846,0.205
7,1995,2,742,23.9,26.1,25.191,0.348
8,1995,13,731,23.3,25.6,24.636,0.448
9,1995,11,709,23,25.3,24.422,0.514
10,1995,9,735,23,26.1,24.347,0.842
11,1995,10,710,24.8,27.2,25.898,0.664
12,1995,10,734,25.2,27.7,26.563,0.436
1,1996,744,0,,,,
2,1996,696,0,,,,
3,1996,744,0,,,,
4,1996,720,0,,,,
5,1996,744,0,,,,
6,1996,720,0,,,,
7,1996,744,0,,,,
8,1996,744,0,,,,
9,1996,720,0,,,,
10,1996,744,0,,,,
11,1996,1,719,24.6,27.5,25.714,0.57
12,1996,0,744,25.6,28,26.894,0.479
1,1997,0,744,25.7,28.1,26.996,0.432
2,1997,2,670,27.1,28.9,27.937,0.37
3,1997,15,729,26.9,29,27.902,0.395
4,1997,1,719,25.6,28.5,27.491,0.539
5,1997,3,741,23.3,27.8,25.885,0.636
6,1997,0,720,24,25.7,24.939,0.333
7,1997,12,732,23.1,25,24.136,0.442
8,1997,0,744,22.4,24.2,23.547,0.348
9,1997,3,717,22.4,25,23.715,0.45
10,1997,0,744,22.6,25.7,24.142,0.806
11,1997,0,720,24.2,26.8,25.623,0.467
12,1997,0,744,24.3,26.8,25.297,0.525
1,1998,0,744,25.5,27.6,26.583,0.471
2,1998,0,672,25,26.6,25.672,0.377
3,1998,0,744,25.5,27.1,26.168,0.305
4,1998,0,720,24.6,26.3,25.446,0.297
5,1998,0,744,24.5,26.6,25.468,0.365
6,1998,5,715,22.8,25.2,24.041,0.542
7,1998,0,744,22.3,24.3,23.516,0.424
8,1998,2,742,22,25,23.693,0.672
9,1998,1,719,22.8,25.1,24.092,0.398
10,1998,198,546,23,26.2,23.987,0.619
11,1998,288,432,26.4,29.2,27.518,0.545
12,1998,0,744,25.9,28.4,27.268,0.576
1,1999,0,744,26.8,29.1,28.05,0.471
2,1999,0,672,27.6,28.8,28.18,0.235
3,1999,1,743,27,29.2,27.99,0.515
4,1999,0,720,26.5,28.4,27.334,0.318
5,1999,0,744,25.7,28.2,27.368,0.501
6,1999,1,719,25.9,27.3,26.74,0.288
7,1999,2,742,24.9,27.1,26.063,0.437
8,1999,0,744,25.1,26.6,25.813,0.348
9,1999,2,718,23.4,26,24.616,0.56
10,1999,0,744,23.7,26.2,24.894,0.594
11,1999,0,720,23.5,27.3,25.334,0.969
12,1999,1,743,26.3,28.6,27.302,0.423
1,2000,4,740,26.6,28.5,27.369,0.353
2,2000,1,695,27.9,29.5,28.667,0.348
3,2000,4,740,27.9,29.6,28.759,0.302
4,2000,0,720,26.8,29.3,28.166,0.492
5,2000,0,744,24.6,27.3,26.154,0.613
6,2000,0,720,23.3,25.7,24.86,0.463
7,2000,0,744,22.9,24.5,23.756,0.432
8,2000,0,744,22.9,25,23.966,0.344
9,2000,0,720,23.2,26,24.733,0.609
