Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
12,2001,386,358,28.3,31.6,28.904,0.303
1,2002,0,744,27.6,29.4,28.683,0.327
2,2002,0,672,28.1,29.3,28.687,0.186
3,2002,0,744,28.5,29.7,28.908,0.195
4,2002,0,720,28.7,30.4,29.111,0.211
5,2002,0,744,29,30.5,29.532,0.284
6,2002,0,720,28.9,31,29.715,0.291
7,2002,0,744,28.4,30.5,29.272,0.332
8,2002,0,744,28.6,30.6,29.497,0.379
9,2002,0,720,27.9,30.7,29.22,0.514
10,2002,0,744,28.8,30.5,29.529,0.349
11,2002,0,720,28.9,30.8,29.658,0.305
12,2002,0,744,28,30.1,28.735,0.301
1,2003,0,744,27.3,29.1,28.341,0.291
2,2003,1,671,27.9,29.3,28.418,0.287
3,2003,2,742,28.7,29.6,29.037,0.148
4,2003,0,720,27.3,30.2,28.956,0.405
5,2003,0,744,28.8,30.3,29.293,0.263
6,2003,1,719,29,30.3,29.438,0.231
7,2003,0,744,29.3,30.7,29.784,0.217
8,2003,1,743,29.6,30.9,30.034,0.254
9,2003,0,720,29.4,30.8,30.106,0.213
10,2003,0,744,29,31.3,30.266,0.283
11,2003,0,720,29.7,31,30.084,0.223
12,2003,0,744,29.2,30.6,29.692,0.334
1,2004,0,744,28.5,29.8,29.083,0.241
2,2004,0,696,28.1,29.8,28.871,0.333
3,2004,0,744,28.5,29.8,29.076,0.186
4,2004,0,720,28.9,30.2,29.328,0.226
5,2004,0,744,29,30.4,29.581,0.231
6,2004,0,720,28.2,30.6,29.605,0.378
7,2004,0,744,29.5,30.8,29.945,0.199
8,2004,0,744,28.7,31,29.735,0.408
9,2004,0,720,29.4,31.8,30.055,0.265
10,2004,0,744,29.5,31.1,30.017,0.291
11,2004,0,720,29.6,31.7,30.254,0.246
12,2004,0,744,28.9,30.3,29.574,0.231
1,2005,0,744,28.2,29.6,28.748,0.237
2,2005,15,657,28,29.1,28.651,0.155
3,2005,0,744,27.8,29.5,28.574,0.244
4,2005,0,720,27.9,29.9,28.992,0.245
5,2005,4,740,28.5,30.3,29.176,0.251
6,2005,1,719,28.9,29.9,29.463,0.158
7,2005,0,744,29.4,30.8,29.89,0.239
8,2005,0,744,29.8,30.9,30.182,0.189
9,2005,1,719,29.4,31.1,29.921,0.208
10,2005,0,744,29.8,31.2,30.265,0.207
11,2005,0,720,29.7,31.2,30.201,0.225
12,2005,0,744,28.8,30.3,29.456,0.291
1,2006,0,744,28,29.3,28.834,0.2
2,2006,0,672,28.2,29.1,28.595,0.144
3,2006,1,743,28.4,29.3,28.752,0.155
4,2006,18,702,28.5,29.8,29.017,0.206
5,2006,8,736,28.7,30.3,29.396,0.27
6,2006,3,717,29.3,30.6,29.706,0.208
7,2006,1,743,28.9,30.4,29.494,0.183
8,2006,31,713,29.5,31.5,30.09,0.254
9,2006,9,711,28.7,31.7,30.296,0.251
10,2006,4,740,28.9,31,29.746,0.355
11,2006,7,713,28.7,30.8,29.749,0.307
12,2006,0,744,28.2,29.8,29.125,0.191
1,2007,0,744,27.9,29,28.508,0.167
2,2007,0,672,27.9,29.4,28.577,0.26
3,2007,0,744,28.3,30.2,29.171,0.385
4,2007,0,720,28.7,29.9,29.266,0.197
5,2007,0,744,29,30.7,29.591,0.198
6,2007,0,720,29.2,30.3,29.601,0.19
7,2007,0,744,29.3,30.3,29.726,0.201
8,2007,0,744,29.5,30.6,29.846,0.183
9,2007,0,720,29.7,30.5,29.99,0.14
10,2007,2,742,29.7,30.9,30.128,0.182
11,2007,0,720,29,30.5,29.519,0.244
12,2007,1,743,28.2,29.7,29.104,0.265
1,2008,0,744,27.9,29.4,28.778,0.17
2,2008,0,696,27.8,29.5,28.512,0.191
3,2008,2,742,28.3,29.4,28.875,0.17
4,2008,1,719,28.6,29.6,29.042,0.167
5,2008,4,740,28.3,29.6,28.944,0.164
6,2008,0,720,28.4,29.7,29.003,0.162
7,2008,0,744,28.9,29.6,29.181,0.135
8,2008,0,744,28.8,30.4,29.443,0.335
9,2008,0,720,29.2,30.3,29.565,0.179
10,2008,1,743,29.1,30.3,29.679,0.22
11,2008,0,720,28.8,29.7,29.309,0.161
12,2008,2,742,28.6,29.8,29.255,0.177
1,2009,0,744,28,29.6,28.908,0.326
2,2009,0,672,28.1,29.2,28.675,0.191
3,2009,0,744,28.2,30.1,28.688,0.311
4,2009,0,720,28.5,29.8,29.11,0.167
5,2009,0,744,29,30,29.357,0.172
6,2009,1,719,29.2,30.6,29.719,0.189
7,2009,0,744,29,30.6,29.769,0.201
8,2009,0,744,29.7,31.2,30.312,0.297
9,2009,0,720,29.8,31.2,30.372,0.2
10,2009,0,744,29.6,31.3,30.318,0.253
11,2009,0,720,29.5,30.7,29.984,0.236
12,2009,3,741,28.3,30.5,29.299,0.33
1,2010,0,744,28,29.4,28.695,0.219
2,2010,0,672,28,30,28.591,0.293
3,2010,26,718,27.9,29.6,28.842,0.237
4,2010,2,718,28.7,29.6,29.068,0.167
5,2010,2,742,29.1,30.2,29.484,0.187
6,2010,4,716,29.3,30.1,29.607,0.147
7,2010,2,742,29.1,30,29.466,0.166
8,2010,8,736,29.1,30,29.427,0.156
9,2010,11,709,29.4,30.4,29.724,0.191
10,2010,5,739,29.3,30.2,29.652,0.184
11,2010,0,720,29.3,30.1,29.656,0.148
12,2010,1,743,28.2,29.9,29.341,0.212
1,2011,0,744,28.2,29.8,29.193,0.19
2,2011,2,670,28.7,30.1,29.265,0.262
3,2011,3,741,29.2,30.2,29.652,0.183
4,2011,4,716,29.5,30.7,29.942,0.196
5,2011,1,743,28.9,30,29.535,0.137
6,2011,1,719,29,29.8,29.421,0.132
7,2011,2,742,28.6,29.9,29.418,0.181
8,2011,2,742,29.3,30.7,29.691,0.212
9,2011,0,720,29.7,30.7,29.958,0.148
10,2011,0,744,29.6,30.7,29.928,0.168
11,2011,0,720,28.6,30.6,29.851,0.215
12,2011,61,683,28.4,29.5,29.034,0.203
1,2012,1,743,28.6,29.6,29.127,0.149
2,2012,317,379,28.4,29.5,28.873,0.135
3,2012,430,314,28.8,30,29.167,0.206
4,2012,2,718,29,29.9,29.347,0.151
5,2012,0,744,29.4,30.5,29.795,0.196
6,2012,0,720,29.2,30.6,29.661,0.216
7,2012,3,741,29.5,30.5,29.752,0.15
8,2012,527,217,29.6,30.5,30.017,0.162
9,2012,720,0,,,,
10,2012,744,0,,,,
11,2012,720,0,,,,
12,2012,75,669,28.5,30,29.314,0.229
1,2013,1,743,27.7,29.5,28.901,0.203
2,2013,2,670,28,29.3,28.67,0.204
3,2013,7,737,28.3,29.8,28.954,0.212
4,2013,121,599,28.5,29.5,28.868,0.198
5,2013,0,744,29,29.7,29.266,0.149
6,2013,0,720,28.8,29.7,29.194,0.15
7,2013,1,743,29.1,30.4,29.609,0.182
8,2013,0,744,29.4,30.9,29.943,0.335
9,2013,0,720,29.6,31.3,30.386,0.223
10,2013,0,744,29.7,31,30.225,0.195
11,2013,1,719,29.2,30.4,29.743,0.159
12,2013,0,744,28.6,30,29.285,0.204
1,2014,0,744,28.4,29.5,28.905,0.195
2,2014,0,672,28.8,30,29.242,0.232
3,2014,0,744,28.5,30.6,29.445,0.298
4,2014,1,719,29,30.2,29.449,0.212
5,2014,0,744,29,30.4,29.592,0.195
6,2014,0,720,29.1,31.1,30.095,0.391
7,2014,77,667,29.6,31,30.275,0.28
8,2014,0,744,29.6,31.2,30.042,0.28
9,2014,123,597,30.1,31.4,30.512,0.209
10,2014,199,545,29.2,31.4,30.143,0.308
11,2014,174,546,29.7,31,30.188,0.189
12,2014,744,0,,,,
1,2015,744,0,,,,
2,2015,672,0,,,,
3,2015,744,0,,,,
4,2015,720,0,,,,
5,2015,593,151,29.2,30.5,29.546,0.263
6,2015,0,720,27.9,30.3,29.397,0.266
7,2015,0,744,28.5,31.6,29.489,0.653
8,2015,0,744,28.3,30.6,29.203,0.448
9,2015,0,720,28.5,29.9,29.067,0.271
10,2015,0,744,27.4,30.5,28.976,0.438
11,2015,0,720,29.2,30.5,29.564,0.252
12,2015,0,744,28.4,30.2,29.226,0.262
1,2016,0,744,27.2,29.3,28.481,0.361
2,2016,0,696,27.7,28.9,28.236,0.285
3,2016,0,744,28,29.9,28.798,0.455
4,2016,0,720,28.7,29.9,29.218,0.232
5,2016,0,744,29.2,30.6,29.604,0.187
6,2016,0,720,29.6,30.7,30.014,0.206
7,2016,0,744,29.7,31.1,30.277,0.258
8,2016,0,744,29.9,31.4,30.567,0.229
9,2016,0,720,30.4,31.6,30.679,0.174
10,2016,4,740,30.2,31.6,30.563,0.183
11,2016,0,720,29.8,31.2,30.414,0.274
12,2016,0,744,28.9,30.2,29.679,0.234
1,2017,0,744,28.6,29.9,29.227,0.255
2,2017,0,672,28.1,30.1,29.302,0.303
3,2017,0,744,28,30.6,29.351,0.36
4,2017,0,720,29.1,30.1,29.46,0.181
5,2017,0,744,28.8,30.1,29.485,0.182
6,2017,0,720,29.1,30.6,29.778,0.205
7,2017,0,744,29.6,30.7,30.018,0.203
8,2017,1,743,30,31.3,30.613,0.246
9,2017,0,720,30.3,31.6,30.758,0.174
10,2017,0,744,30.3,31.6,30.58,0.213
11,2017,12,708,29.8,31,30.305,0.215
12,2017,0,744,28.8,30.3,29.583,0.283
1,2018,0,744,28.2,29.8,29.214,0.178
2,2018,0,672,28.1,29.6,29.056,0.204
3,2018,0,744,28.1,30,29.111,0.262
4,2018,0,720,29,30.4,29.704,0.212
5,2018,0,744,29.6,30.7,29.95,0.207
6,2018,0,720,29.6,30.9,30.016,0.234
7,2018,0,744,30,31.1,30.337,0.198
8,2018,0,744,29.1,30.8,29.917,0.272
9,2018,0,720,29.7,31.7,30.252,0.286
10,2018,0,744,29.9,31.3,30.43,0.259
11,2018,0,720,29.6,31.2,30.122,0.263
12,2018,0,744,28.8,30.7,29.638,0.235
1,2019,0,744,28.1,29.6,28.971,0.175
2,2019,1,671,27.9,29.4,28.658,0.29
3,2019,23,721,28.2,29.3,28.752,0.179
4,2019,0,720,28.3,29.4,28.784,0.155
5,2019,0,744,28.7,30.7,29.442,0.456
6,2019,0,720,29.4,30.4,29.779,0.183
7,2019,1,743,29.7,30.9,30.293,0.217
8,2019,0,744,29.7,31.1,30.346,0.217
9,2019,20,700,29.5,31.4,30.292,0.327
10,2019,0,744,29.7,31.4,30.353,0.255
11,2019,0,720,29.4,30.8,30.009,0.301
12,2019,0,744,27.9,30.6,29.455,0.362
1,2020,0,744,27.9,29.6,28.762,0.223
2,2020,0,696,28.1,29.4,28.873,0.174
3,2020,0,744,28.7,29.7,29.058,0.164
4,2020,0,720,28.4,30.4,29.176,0.243
5,2020,1,743,28.8,30.1,29.368,0.229
6,2020,1,719,29.2,30.6,29.626,0.199
7,2020,0,744,29.8,31.3,30.061,0.202
8,2020,1,743,29.8,31.5,30.454,0.339
9,2020,0,720,30.3,31.8,30.68,0.219
10,2020,0,744,30.1,31.1,30.465,0.163
11,2020,0,720,29.8,30.5,30.159,0.147
12,2020,0,744,28.7,30.2,29.438,0.292
1,2021,360,384,28.7,29.4,29.121,0.116
2,2021,342,330,28.4,29.5,28.951,0.22
3,2021,266,478,28.9,30.2,29.181,0.175
4,2021,127,593,28.9,30.7,29.415,0.308
5,2021,355,389,29.1,29.9,29.5,0.154
6,2021,701,19,29.4,29.8,29.658,0.114
7,2021,440,304,29.4,30.3,29.743,0.174
8,2021,366,378,29.7,30.7,30.065,0.18
9,2021,720,0,,,,
10,2021,744,0,,,,
11,2021,720,0,,,,
12,2021,145,599,28.9,30,29.654,0.133
1,2022,0,744,28.4,30,29.089,0.21
2,2022,0,672,28.2,29.3,28.839,0.157
3,2022,0,744,28.5,29.6,28.995,0.158
4,2022,1,719,28.6,30.3,29.134,0.228
5,2022,0,744,28.7,30.1,29.19,0.195
6,2022,0,720,29.1,30.4,29.48,0.184
7,2022,65,679,29.1,30.1,29.456,0.157
8,2022,0,744,29.4,30.4,29.834,0.181
9,2022,0,720,29.5,30.6,29.99,0.139
10,2022,1,743,29.9,30.8,30.188,0.139
11,2022,285,435,29.6,30.8,30.136,0.277
12,2022,0,744,28.8,30.3,29.592,0.259
1,2023,154,590,28.6,29.9,29.342,0.195
2,2023,275,397,27.9,29.6,28.892,0.301
3,2023,722,22,29,29.5,29.159,0.14
4,2023,720,0,,,,
5,2023,744,0,,,,
6,2023,720,0,,,,
7,2023,744,0,,,,
8,2023,744,0,,,,
9,2023,187,533,30.2,31.4,30.584,0.178
10,2023,229,515,30,31.4,30.543,0.232
11,2023,334,386,29.5,30.9,30.172,0.258
12,2023,323,421,28.9,30,29.397,0.213
1,2024,259,485,27.9,29.8,28.987,0.345
2,2024,103,593,28.4,29.8,28.96,0.255
