Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
10,1992,552,192,26.5,28.6,27.322,0.418
11,1992,0,720,26.5,29.8,27.869,0.722
12,1992,0,744,26.1,29.9,28.794,0.622
1,1993,0,744,26.9,30.1,28.635,0.709
2,1993,0,672,27.5,30.5,29,0.492
3,1993,0,744,28.2,30.9,29.646,0.436
4,1993,0,720,28.1,30.1,28.936,0.445
5,1993,0,744,27,29.5,27.953,0.442
6,1993,0,720,26.4,28.7,27.124,0.308
7,1993,0,744,24.6,27,25.734,0.563
8,1993,0,744,24.2,25.6,24.896,0.275
9,1993,0,720,24.6,26.5,25.492,0.41
10,1993,0,744,25.1,28.5,26.36,0.787
11,1993,0,720,27.5,29.8,28.621,0.474
12,1993,72,672,28.4,31.1,29.536,0.457
1,1994,0,744,28.8,31.6,29.873,0.437
2,1994,0,672,28.6,31.3,30.182,0.537
3,1994,0,744,28.7,32.1,30.318,0.707
4,1994,0,720,27.9,30.6,29.318,0.648
5,1994,0,744,26.8,29,27.834,0.515
6,1994,4,716,25.3,27.2,25.837,0.354
7,1994,0,744,24.9,26.2,25.419,0.268
8,1994,0,744,25.1,27.1,25.786,0.353
9,1994,0,720,24.7,26.9,25.451,0.396
10,1994,0,744,25.5,28,26.583,0.541
11,1994,2,718,27.1,29.4,28.009,0.491
12,1994,4,740,27.5,29.8,28.645,0.465
1,1995,1,743,28.3,30.6,29.341,0.449
2,1995,5,667,28.5,30.6,29.557,0.478
3,1995,5,739,28.9,31.6,30.433,0.582
4,1995,5,715,28.9,31.5,30.083,0.647
5,1995,24,720,27.2,29.5,28.168,0.467
6,1995,70,650,26,29.2,27.099,0.484
7,1995,744,0,,,,
8,1995,744,0,,,,
9,1995,720,0,,,,
10,1995,744,0,,,,
11,1995,720,0,,,,
12,1995,744,0,,,,
1,1996,744,0,,,,
2,1996,696,0,,,,
3,1996,744,0,,,,
4,1996,7,713,28.2,30.4,29.542,0.29
5,1996,16,728,27.1,29.4,28.185,0.485
6,1996,1,719,26.2,27.9,27.156,0.273
7,1996,1,743,26,28.2,27.15,0.368
8,1996,2,742,25.5,27.4,26.246,0.359
9,1996,1,719,26.5,27.9,27.095,0.283
10,1996,0,744,26.9,29.2,27.71,0.425
11,1996,27,693,27.7,30.4,28.911,0.606
12,1996,0,744,27.9,30.5,29.635,0.517
1,1997,2,742,27.5,32.2,30.013,1.049
2,1997,5,667,28.2,31.4,30.09,0.668
3,1997,8,736,27.6,31.4,29.797,0.779
4,1997,4,716,27.6,30.5,28.87,0.818
5,1997,9,735,26.6,28.7,27.513,0.286
6,1997,1,719,25.4,27.1,26.144,0.307
7,1997,18,726,24.8,27.3,25.824,0.438
8,1997,241,503,24.8,26.4,25.464,0.325
9,1997,4,716,24.8,27.1,25.606,0.457
10,1997,1,743,25.5,28,26.676,0.47
11,1997,4,716,27,30,28.359,0.726
12,1997,0,744,28.4,30.7,29.515,0.458
1,1998,372,372,28.4,30.8,29.775,0.515
2,1998,28,644,29.2,31.3,30.068,0.447
3,1998,0,744,29.2,31.7,30.115,0.428
4,1998,0,720,28.9,30.3,29.655,0.273
5,1998,0,744,27.1,29.7,28.288,0.523
6,1998,4,716,26.1,28.2,27.057,0.399
7,1998,6,738,25.4,27.2,26.167,0.375
8,1998,2,742,25.7,27.2,26.261,0.304
9,1998,0,720,25.5,27.6,26.286,0.339
10,1998,0,744,26.4,29.8,27.932,0.803
11,1998,0,720,27.9,31.7,29.574,0.865
12,1998,0,744,29.9,31.9,30.758,0.398
1,1999,0,744,27.6,31.8,30.014,0.98
2,1999,3,669,27.6,31.1,29.336,0.884
3,1999,2,742,29.7,31.6,30.603,0.442
4,1999,0,720,28.8,30.9,29.896,0.366
5,1999,0,744,27.3,30.3,28.749,0.751
6,1999,1,719,26.8,28.2,27.273,0.25
7,1999,5,739,26.6,28.1,27.195,0.285
8,1999,0,744,26.3,27.7,26.842,0.254
9,1999,0,720,26.6,28.4,27.412,0.372
10,1999,0,744,26.8,29.5,27.945,0.487
11,1999,0,720,27.3,30.5,28.988,0.62
12,1999,1,743,28.6,31.6,29.811,0.609
1,2000,0,744,28.1,31.6,30.078,0.662
2,2000,0,696,28.7,31.4,30.193,0.493
3,2000,1,743,29,31.6,30.49,0.461
4,2000,0,720,28.7,31.1,29.769,0.456
5,2000,0,744,27.8,29.5,28.776,0.249
6,2000,0,720,27,29.1,28.092,0.402
7,2000,0,744,26.3,27.8,26.985,0.325
8,2000,0,744,25.7,27.8,26.699,0.333
9,2000,0,720,26.7,28.5,27.561,0.33
10,2000,0,744,26.9,29.3,27.794,0.463
11,2000,3,717,27.8,30.1,28.722,0.414
12,2000,0,744,27,30.7,29.01,0.637
1,2001,0,744,29.3,31.5,30.233,0.417
2,2001,1,671,29.9,31.9,30.734,0.381
3,2001,0,744,28.8,31.6,30.002,0.527
4,2001,1,719,28.9,30.9,29.838,0.335
5,2001,1,743,27.6,30,28.723,0.567
6,2001,0,720,26.2,28.6,27.25,0.574
7,2001,0,744,25.7,27.4,26.632,0.387
8,2001,0,744,25.2,27.3,26.407,0.415
9,2001,0,720,26.3,28.2,27.062,0.328
10,2001,1,743,26.2,29.4,27.887,0.618
11,2001,1,719,28,30.6,29.241,0.429
12,2001,1,743,28.6,31.2,29.6,0.608
1,2002,0,744,28.8,32,30.477,0.637
2,2002,1,671,28.5,32.4,30.786,0.759
3,2002,0,744,28.8,31.4,30.021,0.451
4,2002,1,719,29.1,31.6,30.262,0.593
5,2002,0,744,28.3,29.9,28.971,0.288
6,2002,1,719,27.3,29.6,28.061,0.402
7,2002,2,742,26,28.1,27.099,0.469
8,2002,1,743,25.4,27,25.954,0.265
