Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
5,1993,336,408,23.1,29.7,27.443,1.224
6,1993,24,696,23.5,30,27.744,1.084
7,1993,74,670,23.2,30.6,27.574,1.158
8,1993,236,508,23.8,30.3,28.054,1.005
9,1993,0,720,23.3,31.1,28.246,1.071
10,1993,0,744,22.1,30.9,27.974,1.287
11,1993,0,720,23.1,30.3,27.858,1.174
12,1993,0,744,22,31.9,27.775,1.21
1,1994,0,744,23,31.2,27.594,0.952
2,1994,0,672,23.7,29.7,27.582,0.819
3,1994,0,744,23.4,30.6,27.596,0.978
4,1994,0,720,23.6,29.6,27.591,0.96
5,1994,5,739,23.4,29.7,27.485,1.01
6,1994,5,715,24.4,29.8,27.812,0.902
7,1994,4,740,23.4,30.4,27.886,1.109
8,1994,0,744,24,30.9,28.264,1.15
9,1994,121,599,24,31.9,28.239,1.315
10,1994,744,0,,,,
11,1994,720,0,,,,
12,1994,744,0,,,,
1,1995,744,0,,,,
2,1995,672,0,,,,
3,1995,189,555,24.5,29.4,27.749,0.786
4,1995,73,647,22.2,29.6,27.134,1.317
5,1995,11,733,24.3,29.6,27.726,0.967
6,1995,7,713,23.8,29.7,27.577,1.086
7,1995,113,631,22.6,29.5,27.403,1.09
8,1995,18,726,24,30.4,27.77,1.192
9,1995,13,707,23.9,30,27.919,1.094
10,1995,7,737,22.4,30.2,27.973,1.197
11,1995,12,708,23,30,27.365,1.23
12,1995,18,726,24.2,29.7,27.679,0.973
1,1996,15,729,23,29.7,27.558,1.106
2,1996,1,695,24.2,29.3,27.358,1.118
3,1996,7,737,22.9,29.4,27.686,1.025
4,1996,7,713,23.6,29.4,27.24,1.078
5,1996,1,743,24.2,29.4,27.712,0.852
6,1996,1,719,23.6,29.6,27.312,1.084
7,1996,5,739,24.7,29.7,27.776,0.868
8,1996,4,740,23.6,31.8,28.028,1
9,1996,1,719,23.8,30.2,27.926,1.229
10,1996,7,737,24.2,30.2,28.09,0.99
11,1996,0,720,24.2,30.2,28.026,1.068
12,1996,0,744,24.1,30,27.955,1.102
1,1997,42,702,24.4,29.7,28.003,0.821
2,1997,1,671,24.7,29.8,27.939,0.918
3,1997,27,717,23.4,30.2,28.24,0.91
4,1997,7,713,24.5,29.9,27.716,1.117
5,1997,6,738,24.3,29.8,27.496,1.073
6,1997,0,720,23.8,30,27.728,0.994
7,1997,13,731,24.1,30.3,27.993,1.013
8,1997,8,736,23.3,29.8,26.8,1.155
9,1997,399,321,22.9,28.6,26.561,1.145
10,1997,744,0,,,,
11,1997,0,720,23.1,29.2,27.183,1.06
12,1997,0,744,24,30.7,27.076,0.765
1,1998,1,743,23.7,28.6,26.692,0.732
2,1998,0,672,23.4,28.9,27.157,0.765
3,1998,6,738,24.6,29.4,27.619,0.738
4,1998,2,718,25.2,29.5,27.705,0.812
5,1998,0,744,22,29.6,26.548,1.285
6,1998,2,718,23,29.5,27.15,1.255
7,1998,4,740,23.3,29.9,27.094,1.15
8,1998,3,741,24.3,29.6,27.514,1.072
9,1998,1,719,24.3,30,28.002,1.044
10,1998,0,744,23.3,30.4,27.815,1.115
11,1998,0,720,23.8,29.7,27.49,1.028
12,1998,0,744,24.3,29.4,27.427,0.989
1,1999,2,742,24.7,28.9,27.527,0.701
2,1999,0,672,23.1,29.1,27.438,0.894
3,1999,2,742,23.5,28.9,27.251,0.857
4,1999,1,719,24,29.6,27.359,0.754
5,1999,7,737,24.1,29.3,27.656,0.852
6,1999,11,709,22.7,29.1,26.591,1.159
7,1999,13,731,22.3,28.1,26.139,1.029
8,1999,642,102,22.5,27.3,26.043,0.866
9,1999,720,0,,,,
10,1999,744,0,,,,
11,1999,720,0,,,,
12,1999,48,696,24.7,29.1,27.342,0.819
1,2000,537,207,22.9,28.7,26.975,1.205
2,2000,696,0,,,,
3,2000,360,384,23.7,29.1,27.36,0.909
4,2000,7,713,23.8,28.9,27.345,0.899
5,2000,2,742,24.4,28.8,27.447,0.724
6,2000,3,717,22.7,29.2,27.468,0.909
7,2000,13,731,23.8,29.4,27.041,1.095
8,2000,0,744,23.5,29.6,27.545,1.063
9,2000,0,720,23.8,29.4,27.553,0.912
10,2000,0,744,23.1,29.9,27.612,1.036
11,2000,2,718,24,29.8,27.684,1.058
12,2000,5,739,23.5,29.1,27.143,0.918
1,2001,0,744,23.7,28.3,26.753,0.826
2,2001,0,672,22.7,28.1,26.715,0.878
3,2001,0,744,22.1,28.4,26.836,0.814
4,2001,95,625,25,29.6,27.965,0.764
5,2001,27,717,24.5,29.4,27.746,0.884
6,2001,1,719,23.8,29.8,27.481,0.949
7,2001,0,744,22.9,29.7,27.663,0.984
8,2001,0,744,23.7,29.9,27.753,1.04
9,2001,626,94,25.9,29.6,28.137,0.885
10,2001,400,344,22.8,28.8,26.949,0.933
11,2001,6,714,23.4,28.4,26.148,0.974
12,2001,50,694,24.1,29.9,28.048,0.968
1,2002,0,744,23.3,29.6,27.71,0.879
2,2002,0,672,24.3,29.5,27.767,0.77
3,2002,1,743,24.1,29.9,27.769,0.927
4,2002,0,720,23.3,29.9,27.985,0.92
5,2002,1,743,24.6,30.2,28.053,1.03
6,2002,0,720,23.8,30.3,28.072,1.151
7,2002,0,744,24.2,30.1,28.051,1.08
8,2002,0,744,24.4,30.3,27.749,1.113
9,2002,333,387,24,30,27.759,0.964
10,2002,744,0,,,,
11,2002,720,0,,,,
12,2002,744,0,,,,
1,2003,744,0,,,,
2,2003,672,0,,,,
3,2003,744,0,,,,
4,2003,720,0,,,,
5,2003,744,0,,,,
6,2003,720,0,,,,
7,2003,744,0,,,,
8,2003,744,0,,,,
9,2003,720,0,,,,
10,2003,744,0,,,,
11,2003,720,0,,,,
12,2003,744,0,,,,
1,2004,744,0,,,,
2,2004,696,0,,,,
3,2004,744,0,,,,
4,2004,720,0,,,,
5,2004,744,0,,,,
6,2004,720,0,,,,
7,2004,744,0,,,,
8,2004,744,0,,,,
9,2004,720,0,,,,
10,2004,744,0,,,,
11,2004,720,0,,,,
12,2004,744,0,,,,
1,2005,744,0,,,,
2,2005,672,0,,,,
3,2005,744,0,,,,
4,2005,720,0,,,,
5,2005,744,0,,,,
6,2005,720,0,,,,
7,2005,744,0,,,,
8,2005,744,0,,,,
9,2005,720,0,,,,
10,2005,744,0,,,,
11,2005,720,0,,,,
12,2005,744,0,,,,
1,2006,744,0,,,,
2,2006,672,0,,,,
3,2006,744,0,,,,
4,2006,720,0,,,,
5,2006,744,0,,,,
6,2006,720,0,,,,
7,2006,744,0,,,,
8,2006,744,0,,,,
9,2006,720,0,,,,
10,2006,744,0,,,,
11,2006,1,719,23.6,30.8,28.422,1.046
12,2006,0,744,23.4,30.4,28.017,1.082
1,2007,0,744,23.2,30.2,27.686,1.24
2,2007,1,671,22.9,30.5,27.723,1.289
3,2007,59,685,22.3,30,27.774,1.234
4,2007,28,692,23.3,30.5,28.199,1.233
5,2007,7,737,25.3,30.7,28.629,1.053
6,2007,0,720,24.9,30.8,28.893,0.86
7,2007,0,744,24.4,30.5,28.48,0.945
8,2007,1,743,23.9,30.4,28.457,0.9
9,2007,0,720,24,30.4,28.277,1.087
10,2007,5,739,22.9,30.3,27.786,1.269
11,2007,0,720,22.7,29.9,27.756,1.215
12,2007,0,744,23.9,30,27.629,1.272
1,2008,0,744,23.3,30,27.676,1.191
2,2008,0,696,20.9,30.1,27.455,1.612
3,2008,2,742,23.9,29.7,27.663,1.284
4,2008,1,719,23.4,30.6,28.096,1.311
5,2008,5,739,24.8,31.3,28.735,1.092
6,2008,19,701,23.1,31.3,28.724,1.136
7,2008,0,744,24.3,31.3,29.043,1.15
8,2008,5,739,24.7,31.1,28.414,1.208
9,2008,57,663,24.5,31,28.747,0.981
10,2008,45,699,24.9,32.1,29.061,1.134
11,2008,148,572,24.8,31.5,29.29,1.162
12,2008,744,0,,,,
1,2009,744,0,,,,
2,2009,672,0,,,,
3,2009,744,0,,,,
4,2009,720,0,,,,
5,2009,744,0,,,,
6,2009,169,551,23.7,30.7,28.752,0.994
7,2009,744,0,,,,
8,2009,310,434,23.6,30.8,28.691,0.934
9,2009,289,431,23.9,31.6,28.755,1.238
10,2009,307,437,23.4,31,28.664,1.157
11,2009,720,0,,,,
12,2009,160,584,21.8,30.3,27.951,1.287
1,2010,744,0,,,,
2,2010,672,0,,,,
3,2010,744,0,,,,
4,2010,720,0,,,,
5,2010,744,0,,,,
6,2010,3,717,22.8,30.4,28.059,1.371
7,2010,0,744,22.4,30.1,27.68,1.199
8,2010,0,744,22.4,32.6,27.726,1.227
9,2010,0,720,22.2,29.8,27.405,1.159
10,2010,0,744,22.7,29.6,27.487,1.217
11,2010,5,715,23.1,29.9,27.26,1.164
12,2010,0,744,22.6,29.6,27.523,1.098
1,2011,0,744,20,29.5,27.37,1.386
2,2011,0,672,22.6,29.4,27.155,1.377
3,2011,0,744,22.2,29.6,27.365,1.236
4,2011,0,720,21.9,30,27.996,1.196
5,2011,0,744,22.2,30,27.556,1.271
6,2011,0,720,22.6,29.9,27.92,1.178
7,2011,1,743,23.8,30,27.574,1.218
8,2011,0,744,22.8,29.9,27.68,1.14
9,2011,0,720,23.2,30.1,27.869,1.189
10,2011,0,744,21.8,30.2,27.633,1.135
11,2011,0,720,23.6,30,27.541,1.266
12,2011,154,590,21.5,29.7,27.608,1.195
1,2012,65,679,25,29.6,27.608,1.044
2,2012,8,688,17.5,29.6,26.422,2.141
3,2012,8,736,19.9,30,26.986,1.927
4,2012,0,720,22.2,30.4,28.023,1.227
5,2012,0,744,21.9,30.8,28.561,1.109
6,2012,1,719,22.7,30.8,28.416,1.228
7,2012,410,334,25.1,30.6,28.592,0.857
8,2012,744,0,,,,
9,2012,720,0,,,,
10,2012,744,0,,,,
11,2012,720,0,,,,
12,2012,240,504,24.2,31.7,28.295,1.139
1,2013,0,744,24.9,30.8,28.289,0.938
2,2013,0,672,24.7,30.6,27.913,1.072
3,2013,0,744,23.6,31.3,27.864,1.084
4,2013,0,720,24.5,31,27.912,1.126
5,2013,0,744,24.1,30.9,28.218,1.114
6,2013,0,720,24,31,28.026,1.177
7,2013,0,744,23.7,31.2,28.154,1.134
8,2013,0,744,24.1,32.5,28.312,1.319
9,2013,0,720,24.3,32,28.316,1.326
10,2013,0,744,24,32.7,28.711,1.353
11,2013,1,719,24.2,32,28.021,1.391
12,2013,0,744,25,31.5,28.448,1.027
1,2014,0,744,24.6,30.7,28.151,1.074
2,2014,0,672,24.2,31,27.919,1.216
3,2014,0,744,24.4,31.5,28.393,1.172
4,2014,0,720,23.6,31.2,27.582,1.242
5,2014,0,744,24.8,31.3,28.556,1.231
6,2014,0,720,24.6,31.8,28.385,1.247
7,2014,0,744,24.3,32.5,28.08,1.478
8,2014,0,744,23.9,33.2,28.806,1.406
9,2014,0,720,24,32.3,28.681,1.54
10,2014,0,744,24.7,33.3,28.63,1.34
11,2014,0,720,24.3,31.7,28.6,1.346
12,2014,0,744,24.5,31.2,28.508,1.055
1,2015,0,744,24.7,31.3,28.079,1.128
2,2015,0,672,24.5,31.5,28.335,1.04
3,2015,1,743,23.8,31,27.965,1.281
4,2015,0,720,23,31.6,28.077,1.281
5,2015,4,740,24.3,31.9,28.231,1.284
6,2015,0,720,24.6,31.5,28.494,1.261
7,2015,0,744,24.5,32.9,28.493,1.268
8,2015,0,744,23.9,33.1,28.549,1.299
9,2015,0,720,23.8,33.5,28.753,1.331
10,2015,0,744,24.4,31.9,28.395,1.318
11,2015,0,720,24.9,32.6,28.776,1.272
12,2015,0,744,24.8,31.7,28.537,1.067
1,2016,0,744,25.5,30.8,28.231,0.886
2,2016,0,696,25.2,30.6,28.051,0.997
3,2016,0,744,25.1,31.2,28.431,1.059
4,2016,0,720,25.2,32.1,28.551,1.017
5,2016,0,744,24.4,31.9,28.452,1.296
6,2016,0,720,25.2,31.9,28.788,1.181
7,2016,0,744,24.1,32.4,28.615,1.393
8,2016,0,744,24.9,32.3,28.817,1.276
9,2016,0,720,24.5,32.2,28.806,1.389
10,2016,1,743,24,32.9,28.538,1.413
11,2016,1,719,23.8,32.5,28.466,1.344
12,2016,0,744,23.4,31.5,28.07,1.327
1,2017,0,744,24,30.6,28.088,1.162
2,2017,0,672,24.5,31.3,28.176,1.232
3,2017,0,744,23.9,31.5,28.51,1.42
4,2017,0,720,24.1,31.2,28.355,1.166
5,2017,0,744,25.4,31.7,28.768,1.192
6,2017,0,720,24.2,32.1,28.372,1.317
7,2017,0,744,23.9,32.2,28.429,1.319
8,2017,0,744,22.9,32.8,28.705,1.439
9,2017,0,720,23.1,33.5,28.59,1.503
10,2017,1,743,24.6,32.1,28.696,1.456
11,2017,9,711,24.5,32.2,28.752,1.294
12,2017,0,744,24.6,31.5,28.293,1.16
1,2018,0,744,23.6,30.8,27.888,1.204
2,2018,0,672,23.6,30.8,28.03,1.12
3,2018,0,744,23.2,30.8,27.557,1.362
4,2018,1,719,22.9,31.7,28.042,1.432
5,2018,0,744,23.9,32,28.332,1.381
6,2018,0,720,24.2,32.1,28.428,1.351
7,2018,0,744,24.4,32.6,28.269,1.451
8,2018,0,744,23.5,33.1,28.824,1.455
9,2018,0,720,24.5,32.7,28.889,1.424
10,2018,0,744,24.8,33,29.07,1.319
11,2018,0,720,24.6,32.8,28.965,1.358
12,2018,0,744,24.3,32,28.566,1.229
1,2019,0,744,24.4,31.1,28.397,1.054
2,2019,0,672,23.1,31,27.99,1.216
3,2019,5,739,24.1,31.1,27.921,1.115
4,2019,0,720,24.7,31.2,28.295,1.144
5,2019,0,744,24.5,32.2,28.371,1.304
6,2019,0,720,24,32,28.574,1.294
7,2019,0,744,25,32.9,29.03,1.382
8,2019,0,744,24.7,32.6,28.7,1.471
9,2019,0,720,23.6,33.6,29.22,1.527
10,2019,0,744,23.8,33.4,29.128,1.604
11,2019,0,720,24.6,32.7,28.729,1.48
12,2019,0,744,24.3,32.6,28.699,1.326
1,2020,0,744,25.2,32.4,28.828,1.204
2,2020,35,661,24.4,32.5,28.634,1.322
3,2020,1,743,24.7,31.8,28.539,1.314
4,2020,1,719,24.2,32.1,28.248,1.373
5,2020,0,744,24.3,31.9,28.125,1.391
6,2020,0,720,24.1,32.3,28.447,1.477
7,2020,0,744,24.2,32.2,28.282,1.46
8,2020,1,743,23.8,33.2,28.725,1.436
9,2020,0,720,24,33,28.645,1.423
10,2020,0,744,23.9,32.3,28.068,1.448
11,2020,0,720,23.3,32.1,28.271,1.381
12,2020,0,744,23.5,31.5,27.877,1.451
1,2021,0,744,24.3,31.9,27.931,1.285
2,2021,0,672,23.8,31.1,28.14,1.265
3,2021,78,666,23.2,31.4,27.438,1.459
4,2021,720,0,,,,
5,2021,744,0,,,,
6,2021,433,287,23.7,31.7,27.996,1.438
7,2021,243,501,24.2,32,28.463,1.419
8,2021,744,0,,,,
9,2021,720,0,,,,
10,2021,744,0,,,,
11,2021,720,0,,,,
12,2021,744,0,,,,
1,2022,416,328,24.7,32.2,28.319,1.352
2,2022,260,412,24.1,31.2,27.966,1.339
3,2022,744,0,,,,
4,2022,720,0,,,,
5,2022,443,301,24.3,32,28.024,1.291
6,2022,51,669,24.2,31.8,28.084,1.339
7,2022,744,0,,,,
8,2022,744,0,,,,
9,2022,720,0,,,,
10,2022,744,0,,,,
11,2022,720,0,,,,
12,2022,744,0,,,,
1,2023,744,0,,,,
2,2023,512,160,24.6,31.7,27.826,1.375
3,2023,0,744,23.8,32.1,28.119,1.352
4,2023,277,443,23.1,31.9,28.085,1.592
5,2023,744,0,,,,
6,2023,720,0,,,,
7,2023,744,0,,,,
8,2023,744,0,,,,
9,2023,720,0,,,,
10,2023,744,0,,,,
11,2023,511,209,25.9,32.2,28.86,1.212
12,2023,0,744,23.9,32.3,28.429,1.356
1,2024,0,744,25.1,31.7,28.416,1.244
2,2024,0,696,24.9,32.3,28.552,1.256
3,2024,0,744,26.1,32.4,29.152,1.232
4,2024,0,720,25.1,32.2,28.925,1.242
