Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
5,1993,336,408,27.8,28.3,28.097,0.087
6,1993,24,696,28,28.6,28.278,0.125
7,1993,73,671,28,29.1,28.495,0.145
8,1993,236,508,28.5,30.2,29.117,0.359
9,1993,0,720,28.8,30.5,29.529,0.281
10,1993,0,744,27.8,30.3,29.389,0.374
11,1993,0,720,28.8,29.7,29.265,0.136
12,1993,0,744,28.1,29.4,28.704,0.296
1,1994,0,744,27.7,28.3,28.024,0.109
2,1994,0,672,27.6,28.1,27.872,0.086
3,1994,0,744,27.7,28.1,27.906,0.083
4,1994,0,720,27.8,28.2,28.021,0.101
5,1994,5,739,27.6,28.6,28.166,0.159
6,1994,5,715,28.3,29.6,28.654,0.157
7,1994,4,740,28.6,29.4,29.034,0.152
8,1994,0,744,29.1,31.4,29.91,0.374
9,1994,1,719,28.5,30.7,29.782,0.326
10,1994,0,744,28.2,31,29.904,0.405
11,1994,11,709,29.2,31.2,29.983,0.369
12,1994,9,735,28.3,29.7,28.954,0.334
1,1995,9,735,27.6,28.5,28.06,0.178
2,1995,9,663,27.5,28,27.76,0.102
3,1995,189,555,27.5,28.5,27.957,0.164
4,1995,73,647,27.9,28.5,28.239,0.112
5,1995,11,733,28,29.1,28.483,0.158
6,1995,7,713,28.2,28.9,28.562,0.105
7,1995,113,631,28.2,29.2,28.756,0.147
8,1995,18,726,28.3,30,29.272,0.294
9,1995,15,705,29,30.1,29.518,0.171
10,1995,7,737,29,30.3,29.477,0.205
11,1995,12,708,28.1,29.5,29.115,0.18
12,1995,18,726,28.3,29.2,28.737,0.149
1,1996,16,728,28.3,29,28.629,0.092
2,1996,1,695,28.1,28.8,28.428,0.117
3,1996,7,737,28.1,28.6,28.385,0.096
4,1996,7,713,27.8,28.6,28.277,0.175
5,1996,1,743,27.8,28.7,28.3,0.158
6,1996,2,718,28.2,28.9,28.489,0.112
7,1996,5,739,28.4,30.2,28.838,0.251
8,1996,6,738,28.8,30.2,29.384,0.284
9,1996,2,718,29,30.8,29.593,0.255
10,1996,7,737,29,30.6,29.586,0.176
11,1996,0,720,28.7,30.5,29.641,0.18
12,1996,0,744,28.5,29.6,29.209,0.155
1,1997,42,702,28.4,29.2,28.874,0.153
2,1997,1,671,28.1,28.8,28.508,0.162
3,1997,27,717,28.2,30.5,28.757,0.385
4,1997,7,713,28.5,29.3,28.873,0.137
5,1997,6,738,28.2,29.4,28.808,0.177
6,1997,0,720,28.6,30,29.138,0.226
7,1997,13,731,29.1,30,29.382,0.115
8,1997,8,736,28.5,30.5,29.388,0.281
9,1997,18,702,28.2,30.5,29.056,0.368
10,1997,3,741,28,30,29.183,0.294
11,1997,0,720,28.5,29.9,28.841,0.144
12,1997,0,744,26.7,29,27.694,0.802
