Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
7,1993,168,576,28.2,29.9,29.117,0.332
8,1993,0,744,27.8,30.3,28.861,0.445
9,1993,0,720,28.2,30.6,29.285,0.499
10,1993,0,744,28.2,30.2,29.244,0.456
11,1993,0,720,28.5,30.7,29.573,0.435
12,1993,24,720,28.6,31.4,29.569,0.476
1,1994,1,743,28.2,30.4,29.157,0.392
2,1994,0,672,26.7,30.3,28.251,0.662
3,1994,1,743,27.4,29.6,28.101,0.393
4,1994,0,720,27.6,29.8,28.587,0.473
5,1994,648,96,28.3,29.8,29.107,0.377
6,1994,720,0,,,,
7,1994,144,600,28.9,31.1,29.879,0.394
8,1994,10,734,28,30.3,29.227,0.439
9,1994,1,719,27.7,30,28.795,0.449
10,1994,0,744,27.6,30,28.865,0.464
11,1994,1,719,27.9,30.5,29.221,0.495
12,1994,153,591,27.9,30.9,29.03,0.536
1,1995,336,408,27.8,29.9,28.762,0.4
2,1995,349,323,27.8,29.9,28.889,0.411
3,1995,254,490,27.5,29.9,28.709,0.443
4,1995,82,638,27.5,30.2,28.659,0.571
5,1995,8,736,28.7,30.5,29.601,0.337
6,1995,14,706,28.3,30.5,29.518,0.391
7,1995,2,742,28.2,30.2,29.072,0.31
8,1995,15,729,27.4,29.3,28.288,0.374
9,1995,15,705,24.9,28.8,27.693,0.699
10,1995,17,727,27.2,29.2,28.161,0.406
11,1995,12,708,27.2,29.5,28.282,0.38
12,1995,48,696,28.2,30.6,29.381,0.478
1,1996,17,727,28.3,30.9,29.688,0.477
2,1996,52,644,27,29.8,28.219,0.578
3,1996,263,481,27,29.3,27.962,0.473
4,1996,2,718,26.9,28.7,27.764,0.36
5,1996,0,744,27.2,29.5,28.236,0.406
6,1996,251,469,27.8,29.6,28.814,0.375
7,1996,0,744,27.4,29.4,28.313,0.415
8,1996,0,744,26.1,29.5,28.346,0.53
9,1996,0,720,26.3,29.5,28.087,0.57
10,1996,0,744,27,29.2,28.266,0.351
11,1996,0,720,26.6,29.5,28.275,0.59
12,1996,18,726,27.4,30.4,28.969,0.581
1,1997,0,744,28.1,30.2,29.136,0.45
2,1997,3,669,27.4,30.1,28.83,0.577
3,1997,1,743,27.5,30.8,29.293,0.554
4,1997,3,717,27.9,30.6,29.047,0.447
5,1997,8,736,27.6,29.8,28.821,0.341
6,1997,11,709,27.5,29.7,28.557,0.447
7,1997,11,733,27.1,30,28.953,0.47
8,1997,4,740,27.5,29.4,28.415,0.386
9,1997,6,714,26.8,29.6,28.253,0.45
10,1997,18,726,25.3,29.8,27.215,0.868
11,1997,1,719,25,29.7,26.852,1.098
12,1997,1,743,24.9,29.9,26.973,1.068
1,1998,3,741,24.2,28.8,26.289,0.946
2,1998,7,665,24.1,27.4,25.751,0.667
3,1998,9,735,24.7,28,26.067,0.537
4,1998,7,713,24.4,27.5,26.114,0.593
5,1998,2,742,25,27.4,26.107,0.447
6,1998,5,715,25.3,28.7,26.583,0.603
7,1998,30,714,25.1,28.4,26.897,0.675
8,1998,5,739,24.8,28.6,26.907,0.822
9,1998,41,679,24.6,28.8,26.708,0.894
10,1998,1,743,24.4,27.9,26.303,0.766
11,1998,0,720,24.6,28.3,26.229,0.859
12,1998,0,744,25.4,29.1,27.321,0.662
1,1999,15,729,24.2,28.5,26.526,0.976
2,1999,5,667,24.2,27.1,25.836,0.584
3,1999,12,732,24.8,27.5,26.032,0.542
4,1999,4,716,25.5,27.7,26.677,0.411
5,1999,8,736,26,28.4,27.344,0.413
6,1999,5,715,26.4,29,27.917,0.424
7,1999,10,734,26,29.2,27.985,0.517
8,1999,8,736,27.2,29.4,28.371,0.43
9,1999,2,718,26.6,28.8,27.819,0.422
10,1999,2,742,26.5,28.9,27.882,0.413
11,1999,19,701,25.9,28.6,27.383,0.494
12,1999,0,744,25.9,28.2,27.24,0.511
1,2000,7,737,26.3,28.9,27.534,0.472
2,2000,22,674,26,28.4,27.189,0.503
3,2000,36,708,25.3,28,26.74,0.488
4,2000,4,716,26,28.1,27.195,0.422
5,2000,1,743,27,28.5,27.766,0.284
6,2000,3,717,27.4,29.1,28.216,0.306
7,2000,8,736,27.8,29.7,28.666,0.374
8,2000,8,736,27.6,29.9,28.882,0.467
9,2000,7,713,27.4,30.2,28.844,0.57
10,2000,0,744,27.1,29.5,28.523,0.423
11,2000,3,717,26,29.2,28.098,0.616
12,2000,20,724,27.4,29.4,28.326,0.426
1,2001,1,743,26.7,29.1,27.908,0.507
2,2001,5,667,26.1,28.7,27.446,0.506
3,2001,6,738,26.4,28.8,27.833,0.455
4,2001,7,713,27.4,29.2,28.301,0.346
5,2001,744,0,,,,
6,2001,720,0,,,,
7,2001,744,0,,,,
8,2001,25,719,26.3,29.9,28.357,0.766
9,2001,12,708,27.3,30.7,29.274,0.75
10,2001,4,740,26.9,30.2,28.736,0.716
11,2001,0,720,27.1,30.7,29.239,0.731
12,2001,2,742,27.1,30.5,28.972,0.591
1,2002,672,72,26.6,29.7,28.281,0.858
2,2002,600,72,26.5,29.7,27.994,0.961
3,2002,121,623,26,30,27.798,0.973
4,2002,71,649,26.3,30.4,28.636,1.091
5,2002,1,743,28,31.1,29.665,0.514
6,2002,7,713,28.2,30.5,29.642,0.425
7,2002,4,740,26.8,30.1,28.603,0.601
8,2002,1,743,27.3,30.4,28.769,0.481
9,2002,4,716,27.8,30,28.704,0.386
10,2002,1,743,26.2,29.6,28.065,0.704
11,2002,5,715,25.9,30,28.03,0.879
12,2002,9,735,26,28.9,27.513,0.492
