Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
9,1994,672,48,25.2,28.9,27.69,1.028
10,1994,0,744,23.5,30.1,27.139,1.483
11,1994,8,712,23.6,30.5,27.228,1.542
12,1994,17,727,23.9,31.1,26.835,1.44
1,1995,2,742,23.5,30.1,26.858,1.461
2,1995,3,669,23.6,29.8,26.933,1.46
3,1995,28,716,23.6,30.2,26.972,1.448
4,1995,73,647,23.9,29.9,26.946,1.493
5,1995,744,0,,,,
6,1995,720,0,,,,
7,1995,744,0,,,,
8,1995,744,0,,,,
9,1995,720,0,,,,
10,1995,744,0,,,,
11,1995,720,0,,,,
12,1995,744,0,,,,
1,1996,744,0,,,,
2,1996,696,0,,,,
3,1996,224,520,23.4,30.8,27.449,1.603
4,1996,3,717,24,30.8,27.184,1.564
5,1996,2,742,23.3,30.3,26.711,1.494
6,1996,1,719,23.7,30.3,27.548,1.425
7,1996,8,736,22.9,29.8,26.78,1.536
8,1996,0,744,23.2,29.5,27.189,1.485
9,1996,1,719,22.9,30.8,27.445,1.551
10,1996,16,728,23.4,30.6,27.223,1.571
11,1996,1,719,23.1,30.3,27.41,1.567
12,1996,1,743,23.8,31,27.362,1.659
1,1997,23,721,22.7,29.9,26.932,1.603
2,1997,1,671,23.2,30.1,26.707,1.475
3,1997,98,646,24,30.1,28.08,1.194
4,1997,3,717,22.9,30,26.932,1.399
5,1997,10,734,23.4,30.1,26.864,1.495
6,1997,6,714,24.4,29.2,27.807,0.912
7,1997,14,730,22.9,29.1,26.874,1.331
8,1997,5,739,23.5,28.5,27.188,0.832
9,1997,3,717,23.6,29.1,26.981,0.951
10,1997,11,733,23.8,29.2,26.979,1.261
11,1997,1,719,24,29.9,27.401,1.354
12,1997,2,742,23.6,30.2,27.13,1.393
1,1998,2,742,23.7,30.3,27.988,1.174
2,1998,3,669,23.8,30.2,28.02,1.137
3,1998,4,740,24.5,30.2,28.275,1.097
4,1998,33,687,24.5,30.3,27.776,1.274
5,1998,1,743,24.8,30.4,27.757,1.263
6,1998,4,716,24.5,29.9,27.45,1.335
7,1998,8,736,24.1,29.9,27.386,1.312
8,1998,9,735,23,29.8,27.285,1.442
9,1998,2,718,23.9,30.2,27.606,1.349
10,1998,1,743,23.8,30,27.648,1.441
11,1998,0,720,23.6,30.8,27.687,1.547
12,1998,0,744,23.6,30.7,27.142,1.532
1,1999,0,744,24.4,30.5,28.039,1.434
2,1999,462,210,23.9,30.2,27.223,1.684
3,1999,744,0,,,,
4,1999,720,0,,,,
5,1999,744,0,,,,
6,1999,720,0,,,,
7,1999,744,0,,,,
8,1999,744,0,,,,
