Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
9,1994,672,48,29,30,29.392,0.288
10,1994,0,744,28.9,30.8,29.642,0.405
11,1994,8,712,29.9,31.7,30.555,0.307
12,1994,17,727,28.8,30.5,29.661,0.339
1,1995,2,742,28.4,31,29.753,0.51
2,1995,3,669,28.7,30.6,29.576,0.384
3,1995,28,716,29.1,31.7,30.055,0.502
4,1995,73,647,28.7,30.8,29.798,0.443
5,1995,744,0,,,,
6,1995,720,0,,,,
7,1995,744,0,,,,
8,1995,744,0,,,,
9,1995,720,0,,,,
10,1995,744,0,,,,
11,1995,720,0,,,,
12,1995,744,0,,,,
1,1996,744,0,,,,
2,1996,696,0,,,,
3,1996,225,519,29,32,30.377,0.623
4,1996,3,717,29.7,31.4,30.495,0.365
5,1996,2,742,29.5,31.3,30.506,0.345
6,1996,1,719,29.3,31.4,30.322,0.328
7,1996,8,736,29.3,31.3,30.169,0.361
8,1996,0,744,29.2,30.9,30.083,0.357
9,1996,1,719,29.8,31.6,30.64,0.41
10,1996,16,728,29.3,31.5,30.758,0.346
11,1996,1,719,29.8,31.6,30.783,0.32
12,1996,1,743,29.1,32,30.501,0.749
1,1997,23,721,28.7,30.9,29.678,0.495
2,1997,1,671,28.7,31.7,29.979,0.446
3,1997,98,646,28.2,31.1,29.104,0.683
4,1997,3,717,28.7,31,29.867,0.449
5,1997,10,734,28.3,31.7,29.678,0.505
6,1997,6,714,29.1,30.4,29.545,0.253
7,1997,14,730,28.9,30.7,29.562,0.27
8,1997,5,739,28.5,29.7,28.976,0.266
9,1997,3,717,27.8,29.8,28.75,0.412
10,1997,11,733,28.5,30.4,29.527,0.322
11,1997,1,719,28.7,31.1,30.081,0.467
12,1997,2,742,28.7,31.4,30.265,0.534
1,1998,2,742,29.1,31.6,30.017,0.487
2,1998,3,669,29.4,31.1,30.201,0.36
3,1998,5,739,28.5,31.2,30.343,0.374
4,1998,33,687,27.8,31.7,30.215,0.598
5,1998,1,743,29.4,31.9,30.611,0.446
6,1998,5,715,29.5,31.7,30.512,0.427
7,1998,100,644,29,31.6,30.257,0.448
8,1998,75,669,29.1,31.4,30.101,0.405
9,1998,80,640,28.6,31.4,30.274,0.485
10,1998,149,595,29.5,31.6,30.519,0.428
11,1998,247,473,29.9,32.2,31.07,0.355
12,1998,165,579,28.9,31.7,30.478,0.542
1,1999,296,448,29.8,32.2,30.9,0.416
2,1999,94,578,28.7,31.1,30.032,0.528
3,1999,253,491,29.1,31.1,30.106,0.385
4,1999,124,596,29.1,31.6,30.308,0.467
5,1999,147,597,28.8,31.4,30.343,0.469
6,1999,720,0,,,,
7,1999,744,0,,,,
8,1999,744,0,,,,
9,1999,390,330,29.5,30.7,30.13,0.238
10,1999,1,743,29.4,30.9,30.186,0.284
11,1999,15,705,29.6,31.6,30.715,0.332
12,1999,0,744,29,31.8,30.54,0.585
1,2000,1,743,29.4,31.8,30.496,0.59
2,2000,0,696,29.9,31.7,30.836,0.415
3,2000,6,738,29.7,31.6,30.636,0.343
4,2000,12,708,29.6,31.8,30.604,0.479
5,2000,6,738,29,31.6,30.399,0.516
6,2000,7,713,29.4,31.4,30.492,0.309
7,2000,11,733,28.9,31.1,30.138,0.367
8,2000,2,742,28.3,31.1,29.886,0.391
9,2000,7,713,29.5,31.5,30.449,0.405
10,2000,3,741,29.8,32,30.852,0.387
11,2000,0,720,30.1,32.6,31.387,0.387
12,2000,0,744,29.6,31.3,30.289,0.205
1,2001,2,742,29.9,32.2,31.066,0.434
2,2001,8,664,28.3,32.1,30.614,1.033
3,2001,9,735,29,32,30.387,0.626
4,2001,2,718,29.8,32.5,31.127,0.488
5,2001,0,744,29.4,31.9,30.906,0.356
6,2001,1,719,29.8,31.8,30.683,0.416
7,2001,0,744,28.5,30.9,29.753,0.439
8,2001,0,744,28.7,30.9,29.843,0.316
9,2001,0,720,29.4,31.2,30.332,0.277
10,2001,0,744,29.1,31.6,30.63,0.459
11,2001,2,718,29.9,31.8,31.057,0.351
12,2001,0,744,29.1,31.5,29.826,0.434
1,2002,0,744,29.3,31.6,30.3,0.561
2,2002,0,672,29.4,31.2,30.075,0.383
3,2002,0,744,29.5,31.1,30.235,0.291
4,2002,0,720,29.5,31.9,30.648,0.495
5,2002,0,744,29.6,31.7,30.892,0.324
6,2002,12,708,29.3,31.3,30.353,0.369
7,2002,3,741,29.3,31.1,30.13,0.308
8,2002,0,744,29.2,30.9,29.967,0.291
9,2002,0,720,29,31.4,29.997,0.407
10,2002,0,744,29.4,31.5,30.249,0.477
11,2002,2,718,29.4,32.3,30.701,0.414
12,2002,7,737,29,31.7,30.323,0.698
1,2003,2,742,29.5,31.8,30.328,0.385
2,2003,344,328,29.9,31.7,30.375,0.327
3,2003,1,743,29.4,31.5,30.298,0.406
4,2003,0,720,29.5,32.3,30.608,0.535
5,2003,0,744,29.8,31.6,30.579,0.366
6,2003,2,718,29.9,31.6,30.572,0.326
7,2003,0,744,29.4,31.7,30.45,0.348
8,2003,49,695,29.3,31.5,30.372,0.35
9,2003,20,700,28.1,31.5,30.259,0.532
