Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
9,1994,6720,480,0.18,0.929,0.611,0.2
10,1994,0,7440,0.108,1.032,0.659,0.187
11,1994,0,7200,0.108,1.075,0.68,0.22
12,1994,0,7440,-0.014,1.141,0.628,0.26
1,1995,0,7440,-0.049,1.036,0.593,0.231
2,1995,0,6720,0.138,0.996,0.613,0.188
3,1995,100,7340,0.26,1,0.731,0.161
4,1995,480,6720,0.237,1.096,0.729,0.188
5,1995,7440,0,,,,
6,1995,7200,0,,,,
7,1995,7440,0,,,,
8,1995,7440,0,,,,
9,1995,7200,0,,,,
10,1995,7440,0,,,,
11,1995,7200,0,,,,
12,1995,7440,0,,,,
1,1996,7440,0,,,,
2,1996,6960,0,,,,
3,1996,2024,5416,0.288,1.027,0.768,0.158
4,1996,0,7200,0.304,1.103,0.782,0.169
5,1996,0,7440,0.284,1.119,0.756,0.202
6,1996,0,7200,0.125,1.125,0.706,0.229
7,1996,0,7440,0.13,1.129,0.712,0.225
8,1996,0,7440,0.193,1.064,0.715,0.184
9,1996,0,7200,0.249,1.07,0.758,0.156
10,1996,0,7440,0.287,1.112,0.754,0.182
11,1996,0,7200,0.233,1.206,0.786,0.217
12,1996,0,7440,0.19,1.259,0.779,0.238
1,1997,0,7440,0.133,1.137,0.7,0.217
2,1997,0,6720,0.192,1.184,0.783,0.194
3,1997,0,7440,0.298,1.191,0.755,0.182
4,1997,0,7200,0.193,1.021,0.688,0.186
5,1997,0,7440,0.139,1.061,0.65,0.205
6,1997,0,7200,0.091,1.076,0.642,0.23
7,1997,0,7440,0.067,1.019,0.628,0.232
8,1997,0,7440,0.041,0.977,0.574,0.205
9,1997,0,7200,-0.024,0.808,0.496,0.161
10,1997,0,7440,0.063,0.815,0.499,0.159
11,1997,0,7200,0.02,0.896,0.481,0.206
12,1997,0,7440,-0.075,0.917,0.489,0.237
1,1998,0,7440,-0.053,0.916,0.485,0.221
2,1998,0,6720,-0.026,0.876,0.51,0.193
3,1998,0,7440,0.063,0.919,0.569,0.162
4,1998,240,6960,0.086,1.003,0.604,0.183
5,1998,0,7440,0.04,1.005,0.61,0.22
6,1998,0,7200,0.074,1.035,0.619,0.221
7,1998,0,7440,0.058,0.995,0.599,0.211
8,1998,0,7440,0.118,0.983,0.605,0.19
9,1998,0,7200,0.08,0.97,0.642,0.181
10,1998,0,7440,0.176,1.021,0.689,0.175
11,1998,0,7200,0.187,1.141,0.729,0.211
12,1998,0,7440,0.173,1.191,0.739,0.24
1,1999,0,7440,0.166,1.211,0.763,0.237
2,1999,0,6720,0.261,1.227,0.843,0.194
3,1999,0,7440,0.351,1.113,0.821,0.16
4,1999,0,7200,0.299,1.165,0.803,0.17
5,1999,0,7440,0.195,1.165,0.764,0.215
6,1999,0,7200,0.126,1.179,0.717,0.241
7,1999,0,7440,0.067,1.138,0.713,0.24
8,1999,0,7440,0.108,1.11,0.706,0.199
9,1999,0,7200,0.189,1.189,0.752,0.179
10,1999,0,7440,0.206,1.141,0.762,0.191
11,1999,0,7200,0.236,1.228,0.818,0.214
12,1999,0,7440,0.13,1.265,0.806,0.241
1,2000,0,7440,0.194,1.237,0.81,0.236
2,2000,0,6960,0.261,1.273,0.832,0.207
3,2000,0,7440,0.342,1.159,0.854,0.173
4,2000,0,7200,0.291,1.17,0.834,0.177
5,2000,0,7440,0.299,1.217,0.8,0.205
6,2000,0,7200,0.165,1.193,0.76,0.244
7,2000,0,7440,0.076,1.227,0.743,0.254
8,2000,0,7440,0.088,1.136,0.72,0.22
9,2000,0,7200,0.145,1.073,0.706,0.18
10,2000,0,7440,0.217,1.112,0.773,0.196
11,2000,0,7200,0.221,1.219,0.8,0.225
12,2000,0,7440,0.145,1.234,0.803,0.247
1,2001,0,7440,0.156,1.294,0.81,0.236
2,2001,0,6720,0.232,1.337,0.858,0.213
3,2001,0,7440,0.29,1.197,0.841,0.185
4,2001,0,7200,0.283,1.196,0.831,0.204
5,2001,0,7440,0.164,1.215,0.778,0.226
6,2001,0,7200,0.077,1.207,0.743,0.251
7,2001,0,7440,-0.006,1.099,0.668,0.252
8,2001,0,7440,0.088,1.228,0.708,0.231
9,2001,0,7200,0.176,1.052,0.722,0.184
10,2001,0,7440,0.226,1.222,0.769,0.191
11,2001,0,7200,0.21,1.274,0.792,0.226
12,2001,0,7440,0.059,1.203,0.74,0.275
1,2002,0,7440,0.035,1.121,0.659,0.261
2,2002,0,6720,0.107,1.128,0.713,0.223
3,2002,0,7440,0.137,1.068,0.724,0.186
4,2002,0,7200,0.221,1.086,0.736,0.199
5,2002,0,7440,0.141,1.124,0.734,0.24
6,2002,0,7200,0.134,1.148,0.729,0.254
7,2002,0,7440,0.062,1.118,0.692,0.239
8,2002,0,7440,0.097,1.066,0.675,0.225
9,2002,0,7200,0.019,0.994,0.637,0.215
10,2002,0,7440,0.023,0.965,0.605,0.21
11,2002,0,7200,0.026,1.028,0.61,0.227
12,2002,0,7440,-0.019,1.056,0.59,0.265
1,2003,0,7440,-0.022,1.05,0.6,0.265
2,2003,3414,3306,0.045,1.036,0.624,0.22
3,2003,0,7440,0.107,1.038,0.682,0.198
4,2003,0,7200,0.17,1.122,0.738,0.194
5,2003,0,7440,0.158,1.189,0.761,0.233
6,2003,0,7200,0.074,1.153,0.721,0.264
7,2003,0,7440,0.059,1.173,0.724,0.258
8,2003,386,7054,0.048,1.112,0.708,0.226
9,2003,0,7200,0.05,1.088,0.742,0.21
10,2003,264,7176,0.163,1.191,0.783,0.227
11,2003,0,7200,0.074,1.199,0.766,0.246
12,2003,0,7440,0.038,1.288,0.776,0.268
1,2004,0,7440,-0.014,1.237,0.718,0.262
2,2004,0,6960,0.029,1.167,0.729,0.232
3,2004,0,7440,0.193,1.169,0.805,0.207
4,2004,0,7200,0.139,1.142,0.768,0.215
5,2004,0,7440,0.123,1.177,0.757,0.24
6,2004,0,7200,0.07,1.235,0.744,0.268
7,2004,0,7440,-0.023,1.171,0.688,0.279
8,2004,0,7440,0.003,1.119,0.678,0.235
9,2004,0,7200,0.064,1.046,0.695,0.204
10,2004,0,7440,0.125,1.123,0.732,0.216
11,2004,0,7200,0.087,1.199,0.739,0.257
12,2004,0,7440,-0.031,1.232,0.727,0.28
1,2005,0,7440,0.024,1.276,0.73,0.262
2,2005,0,6720,-0.056,1.166,0.702,0.241
3,2005,0,7440,0.034,1.107,0.695,0.217
4,2005,0,7200,0.085,1.142,0.747,0.228
5,2005,0,7440,0.1,1.225,0.748,0.246
6,2005,0,7200,-0.012,1.129,0.717,0.269
7,2005,0,7440,0.043,1.223,0.728,0.264
8,2005,0,7440,0.029,1.134,0.703,0.24
9,2005,0,7200,0.111,1.154,0.746,0.209
10,2005,0,7440,0.115,1.221,0.76,0.218
11,2005,0,7200,0.23,1.27,0.811,0.252
12,2005,0,7440,0.098,1.311,0.783,0.291
1,2006,0,7440,0.109,1.356,0.819,0.279
2,2006,0,6720,0.248,1.242,0.831,0.222
3,2006,0,7440,0.264,1.206,0.843,0.195
4,2006,0,7200,0.265,1.259,0.809,0.221
5,2006,0,7440,0.126,1.288,0.774,0.268
6,2006,0,7200,0.085,1.201,0.749,0.279
7,2006,0,7440,0.042,1.232,0.696,0.259
8,2006,0,7440,0.041,1.211,0.675,0.24
9,2006,0,7200,0.024,1.065,0.693,0.221
10,2006,0,7440,0.052,1.119,0.704,0.229
11,2006,0,7200,0.023,1.206,0.677,0.259
12,2006,0,7440,-0.018,1.183,0.672,0.289
1,2007,0,7440,0.002,1.193,0.693,0.283
2,2007,0,6720,0.052,1.141,0.707,0.241
3,2007,0,7440,0.188,1.126,0.769,0.203
4,2007,0,7200,0.215,1.175,0.769,0.211
5,2007,0,7440,0.098,1.181,0.77,0.247
6,2007,0,7200,0.129,1.219,0.755,0.264
7,2007,0,7440,0.034,1.219,0.734,0.265
8,2007,0,7440,0.13,1.24,0.764,0.227
9,2007,0,7200,0.167,1.133,0.77,0.21
10,2007,0,7440,0.128,1.208,0.772,0.239
11,2007,0,7200,0.143,1.353,0.854,0.264
12,2007,0,7440,0.124,1.315,0.813,0.254
1,2008,0,7440,0.144,1.29,0.85,0.258
2,2008,0,6960,0.163,1.316,0.845,0.235
3,2008,0,7440,0.275,1.228,0.869,0.206
4,2008,0,7200,0.259,1.274,0.844,0.223
5,2008,0,7440,0.216,1.273,0.8,0.243
6,2008,525,6675,0.043,1.272,0.757,0.278
7,2008,0,7440,-0.04,1.282,0.734,0.285
8,2008,0,7440,0.088,1.193,0.749,0.234
9,2008,0,7200,0.157,1.12,0.758,0.205
10,2008,0,7440,0.135,1.188,0.757,0.223
11,2008,0,7200,0.132,1.235,0.772,0.26
12,2008,0,7440,0.064,1.334,0.818,0.273
1,2009,0,7440,0.111,1.381,0.831,0.253
2,2009,0,6720,0.264,1.35,0.868,0.222
3,2009,3778,3662,0.257,1.204,0.845,0.216
4,2009,275,6925,0.192,1.198,0.812,0.229
5,2009,0,7440,0.105,1.245,0.786,0.253
6,2009,0,7200,0.036,1.206,0.745,0.266
7,2009,3354,4086,0.043,1.184,0.724,0.265
8,2009,751,6689,0.079,1.213,0.713,0.221
9,2009,0,7200,0.12,1.118,0.726,0.2
10,2009,0,7440,0.205,1.067,0.726,0.196
11,2009,0,7200,0.116,1.235,0.732,0.258
12,2009,0,7440,-0.028,1.223,0.697,0.286
1,2010,0,7440,0.028,1.15,0.674,0.26
2,2010,0,6720,0.034,1.064,0.651,0.217
3,2010,0,7440,0.159,1.072,0.725,0.185
4,2010,0,7200,0.211,1.135,0.748,0.205
5,2010,0,7440,0.165,1.219,0.758,0.252
6,2010,0,7200,0.125,1.304,0.75,0.259
7,2010,0,7440,0.076,1.296,0.762,0.242
8,2010,0,7440,0.177,1.207,0.778,0.212
9,2010,0,7200,0.238,1.153,0.789,0.199
10,2010,0,7440,0.318,1.235,0.84,0.209
11,2010,0,7200,0.264,1.37,0.851,0.24
12,2010,0,7440,0.227,1.37,0.865,0.268
1,2011,0,7440,0.237,1.34,0.885,0.249
2,2011,1612,5108,0.302,1.308,0.887,0.201
3,2011,0,7440,-0.083,2.079,0.899,0.199
4,2011,0,7200,0.36,1.287,0.897,0.194
5,2011,0,7440,0.262,1.324,0.842,0.233
6,2011,0,7200,0.155,1.222,0.81,0.251
7,2011,0,7440,0.134,1.199,0.782,0.236
8,2011,0,7440,0.177,1.182,0.759,0.19
9,2011,4431,2769,0.223,1.11,0.799,0.209
10,2011,4357,3083,0.304,1.236,0.853,0.239
11,2011,0,7200,0.209,1.278,0.844,0.234
12,2011,0,7440,0.236,1.348,0.862,0.239
1,2012,0,7440,0.249,1.342,0.879,0.23
2,2012,0,6960,0.313,1.267,0.89,0.199
3,2012,0,7440,0.367,1.261,0.888,0.18
4,2012,0,7200,0.283,1.178,0.825,0.198
5,2012,0,7440,0.223,1.234,0.82,0.224
6,2012,0,7200,0.168,1.225,0.791,0.251
7,2012,5040,2400,0.12,1.214,0.792,0.264
8,2012,2412,5028,0.17,1.19,0.757,0.212
9,2012,0,7200,0.236,1.065,0.757,0.166
10,2012,0,7440,0.195,1.148,0.756,0.191
11,2012,0,7200,0.205,1.25,0.803,0.234
12,2012,0,7440,0.15,1.281,0.797,0.251
1,2013,0,7440,0.182,1.321,0.835,0.231
2,2013,0,6720,0.167,1.24,0.809,0.194
3,2013,0,7440,0.303,1.25,0.872,0.165
4,2013,0,7200,0.331,1.237,0.858,0.2
5,2013,0,7440,0.229,1.243,0.833,0.226
6,2013,0,7200,0.144,1.253,0.812,0.242
7,2013,0,7440,0.141,1.227,0.782,0.236
8,2013,0,7440,0.205,1.212,0.768,0.204
9,2013,0,7200,0.257,1.163,0.804,0.183
10,2013,0,7440,0.317,1.186,0.826,0.18
11,2013,0,7200,0.285,1.249,0.831,0.22
12,2013,0,7440,0.197,1.269,0.814,0.252
1,2014,0,7440,0.218,1.42,0.835,0.24
2,2014,0,6720,0.295,1.192,0.82,0.185
3,2014,0,7440,0.288,1.053,0.773,0.16
4,2014,0,7200,0.313,1.072,0.793,0.173
5,2014,0,7440,0.228,1.143,0.733,0.22
6,2014,0,7200,0.209,1.186,0.762,0.226
7,2014,0,7440,0.192,1.195,0.771,0.212
8,2014,6323,1117,0.308,1.075,0.795,0.147
9,2014,7200,0,,,,
10,2014,7440,0,,,,
11,2014,7200,0,,,,
12,2014,1966,5474,0.238,1.272,0.817,0.235
1,2015,0,7440,0.19,1.245,0.784,0.232
2,2015,0,6720,0.201,1.131,0.755,0.19
3,2015,0,7440,0.236,1.087,0.752,0.162
4,2015,0,7200,0.266,1.083,0.738,0.168
5,2015,0,7440,0.193,1.108,0.715,0.205
6,2015,0,7200,0.19,1.146,0.705,0.234
7,2015,0,7440,0.097,1.159,0.668,0.236
8,2015,0,7440,0.107,1.065,0.642,0.195
9,2015,0,7200,0.142,0.964,0.649,0.16
10,2015,0,7440,0.15,1.027,0.667,0.186
11,2015,0,7200,0.132,1.086,0.679,0.221
12,2015,0,7440,0.095,1.092,0.643,0.231
1,2016,0,7440,0.057,0.995,0.608,0.217
2,2016,0,6960,0.113,1,0.633,0.19
3,2016,0,7440,0.2,0.965,0.686,0.164
4,2016,0,7200,0.231,1.104,0.706,0.179
5,2016,0,7440,0.198,1.137,0.728,0.204
6,2016,0,7200,0.184,1.214,0.763,0.231
7,2016,0,7440,0.15,1.177,0.743,0.229
8,2016,801,6639,0.176,1.087,0.767,0.199
9,2016,2296,4904,0.378,1.05,0.808,0.143
10,2016,0,7440,0.347,1.214,0.854,0.172
11,2016,0,7200,0.348,1.27,0.873,0.214
12,2016,5084,2356,0.391,1.2,0.838,0.214
1,2017,7440,0,,,,
2,2017,6720,0,,,,
3,2017,4795,2645,0.513,1.157,0.93,0.144
4,2017,0,7200,0.387,1.19,0.872,0.178
5,2017,0,7440,0.281,1.222,0.831,0.211
6,2017,0,7200,0.184,1.233,0.807,0.224
7,2017,0,7440,0.162,1.285,0.759,0.222
8,2017,0,7440,0.199,1.198,0.767,0.195
9,2017,0,7200,0.272,1.143,0.796,0.165
10,2017,0,7440,0.342,1.195,0.849,0.178
11,2017,0,7200,0.278,1.23,0.864,0.208
12,2017,219,7221,0.212,1.333,0.83,0.247
1,2018,0,7440,0.169,1.378,0.869,0.25
2,2018,0,6720,0.279,1.277,0.873,0.196
3,2018,0,7440,0.353,1.195,0.86,0.164
4,2018,0,7200,0.365,1.32,0.856,0.172
5,2018,0,7440,0.34,1.217,0.859,0.209
6,2018,0,7200,0.25,1.24,0.837,0.234
7,2018,0,7440,0.307,1.315,0.845,0.224
8,2018,0,7440,0.233,1.249,0.827,0.197
9,2018,224,6976,0.289,1.213,0.832,0.179
10,2018,0,7440,0.324,1.312,0.92,0.2
11,2018,0,7200,0.2,1.343,0.839,0.231
12,2018,0,7440,0.23,1.299,0.821,0.247
1,2019,0,7440,0.128,1.243,0.788,0.245
2,2019,0,6720,0.176,1.16,0.753,0.211
3,2019,0,7440,0.274,1.145,0.813,0.185
4,2019,0,7200,0.297,1.142,0.784,0.183
5,2019,0,7440,0.243,1.149,0.773,0.209
6,2019,0,7200,0.19,1.172,0.752,0.239
7,2019,0,7440,0.175,1.155,0.734,0.242
8,2019,0,7440,0.163,1.111,0.749,0.214
9,2019,0,7200,0.245,1.048,0.774,0.175
10,2019,0,7440,0.278,1.201,0.815,0.197
11,2019,0,7200,0.22,1.24,0.838,0.233
12,2019,0,7440,0.203,1.227,0.79,0.259
1,2020,0,7440,0.143,1.181,0.739,0.246
2,2020,0,6960,0.174,1.203,0.741,0.218
3,2020,0,7440,0.193,1.128,0.791,0.196
4,2020,0,7200,0.269,1.177,0.823,0.197
5,2020,0,7440,0.298,1.219,0.847,0.228
6,2020,6080,1120,0.322,1.227,0.845,0.224
7,2020,7440,0,,,,
8,2020,1653,5787,0.238,1.188,0.826,0.211
9,2020,221,6979,0.315,1.22,0.853,0.189
10,2020,0,7440,0.262,1.334,0.875,0.191
11,2020,0,7200,0.255,1.276,0.877,0.235
12,2020,0,7440,0.244,1.342,0.894,0.262
1,2021,0,7440,0.327,1.405,0.926,0.251
2,2021,0,6720,0.328,1.362,0.946,0.215
3,2021,0,7440,0.32,1.253,0.91,0.186
4,2021,0,7200,0.32,1.285,0.9,0.213
5,2021,0,7440,0.177,1.276,0.843,0.247
6,2021,0,7200,0.112,1.273,0.809,0.264
