Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
1,1993,480,264,22.5,27.3,24.931,0.991
2,1993,0,672,23.1,29.2,26.154,1.233
3,1993,0,744,22.4,29.7,26.234,1.306
4,1993,0,720,20.6,28.6,24.716,1.499
5,1993,0,744,19,26.9,23.194,1.634
6,1993,0,720,18.4,25.8,22.514,1.407
7,1993,0,744,17.3,24.2,20.684,1.269
8,1993,0,744,17.1,23.8,20.67,1.41
9,1993,0,720,16.6,23.8,20.721,1.494
10,1993,1,743,17.6,24.8,21.575,1.642
11,1993,96,624,20.3,28.1,24.574,1.614
12,1993,2,742,21.6,29.9,25.909,1.478
1,1994,0,744,21.9,29.4,25.917,1.327
2,1994,0,672,24,30.3,27.153,1.212
3,1994,0,744,22.3,30.2,26.305,1.591
4,1994,0,720,19.6,29.8,25.059,1.737
5,1994,0,744,18.4,28.9,22.856,1.977
6,1994,0,720,17.5,26,21.45,1.473
7,1994,3,741,17.2,26,21.759,1.712
8,1994,1,743,16.1,26.1,21.572,1.785
9,1994,0,720,16,26.2,20.831,1.831
10,1994,0,744,17.5,26.4,22.231,1.587
11,1994,1,719,19.9,27.8,24.214,1.462
12,1994,5,739,22.1,28.6,25.543,1.423
1,1995,0,744,21.4,30.1,25.235,1.389
2,1995,2,670,23.3,30.3,27.016,1.458
3,1995,3,741,23,30.1,27.021,1.197
4,1995,6,714,21,29.7,25.7,1.535
5,1995,2,742,19.6,26.5,23.37,1.326
6,1995,6,714,18.5,26.6,22.75,1.538
7,1995,4,740,18.5,25.4,22.255,1.655
8,1995,7,737,17.2,25.9,21.433,1.798
9,1995,7,713,18.5,24.9,22.041,1.327
10,1995,5,739,19.1,26.6,23.277,1.487
11,1995,13,707,21.3,28,24.598,1.215
12,1995,12,732,21.8,30.5,25.886,1.769
1,1996,12,732,22.6,29,25.954,1.136
2,1996,0,696,23,29.6,26.567,1.355
3,1996,0,744,23.4,29.7,26.822,1.077
4,1996,2,718,20,30.3,25.975,1.611
5,1996,0,744,18.3,26.9,23.685,1.477
6,1996,0,720,17.9,25.9,22.738,1.633
7,1996,0,744,16.9,26.9,22.635,1.885
8,1996,0,744,18,26.2,21.883,1.786
9,1996,0,720,19.1,25.7,22.946,1.473
10,1996,0,744,19.7,26.6,22.794,1.272
11,1996,3,717,19.9,27.8,24.385,1.735
12,1996,2,742,22.9,29.3,26.391,1.225
1,1997,23,721,22.5,29.8,26.695,1.275
2,1997,1,671,23,30.1,27.145,1.187
3,1997,30,714,23.4,29.2,26.816,1.217
4,1997,3,717,20.4,28.5,24.685,1.574
5,1997,11,733,19.2,27.2,23.222,1.451
6,1997,6,714,18.4,24.9,21.939,1.419
7,1997,14,730,16.5,25,21.117,1.642
8,1997,4,740,16,24.2,20.52,1.468
9,1997,2,718,16.8,24.5,20.724,1.521
10,1997,11,733,18.3,26.5,22.476,1.511
11,1997,0,720,20.3,27.4,23.974,1.349
12,1997,1,743,21.6,27.9,25.377,0.951
1,1998,1,743,22.6,28.4,25.904,0.997
2,1998,4,668,22.9,28.4,25.749,0.933
3,1998,3,741,21.6,28.5,25.637,1.108
4,1998,1,719,21.9,27.6,25.406,1.069
5,1998,1,743,19.3,26.7,23.836,1.317
6,1998,19,701,18.8,25.6,23.378,1.223
7,1998,1,743,18.1,24.5,21.658,1.413
8,1998,0,744,18.3,25.3,22.293,1.427
9,1998,0,720,18.5,24.6,22.088,1.163
10,1998,1,743,18.3,26.1,23.264,1.418
11,1998,1,719,21.5,28.4,25.676,1.2
12,1998,0,744,23.8,29.7,26.59,1.248
1,1999,0,744,23.1,29.6,26.27,1.182
2,1999,1,671,22.5,29.6,26.052,1.502
3,1999,0,744,22.8,29.6,26.43,1.135
4,1999,0,720,21.9,28.7,26.136,1.252
5,1999,0,744,19.9,27.8,23.389,1.481
6,1999,0,720,17.7,26.7,22.535,1.769
7,1999,2,742,17.9,26.5,22.538,1.609
8,1999,0,744,17.8,24.7,21.517,1.401
9,1999,0,720,18.7,25.7,22.176,1.262
10,1999,0,744,18.6,26.9,23.1,1.402
11,1999,0,720,20.4,27.6,24.742,1.315
12,1999,0,744,22.1,29.2,25.629,1.433
1,2000,1,743,23.5,29.6,26.838,1.203
2,2000,0,696,23.3,30.3,27.396,1.388
3,2000,0,744,22.5,30.3,27.52,1.242
4,2000,1,719,21.5,30.7,26.376,1.374
5,2000,0,744,21,27.7,24.793,1.542
6,2000,0,720,19.3,25.8,23.216,1.326
7,2000,0,744,17.8,24.5,21.799,1.433
8,2000,0,744,17.5,24.8,21.726,1.461
9,2000,0,720,17.5,25.9,21.914,1.556
10,2000,0,744,19,25.5,22.755,1.254
11,2000,0,720,19.1,28.4,24.716,1.558
12,2000,0,744,22,28.2,25.506,1.227
1,2001,419,325,23.3,29.7,27.081,1.035
2,2001,0,672,23.9,30.1,27.261,1.318
3,2001,0,744,22.7,29.4,25.979,1.229
4,2001,0,720,21.8,29.1,25.735,1.28
5,2001,0,744,19.8,26.7,24.356,1.483
6,2001,0,720,17.8,26.2,22.564,1.417
7,2001,0,744,17.6,26.3,21.542,1.717
8,2001,1,743,17.6,25.5,21.989,1.692
9,2001,14,706,18.3,25.5,22.422,1.385
10,2001,0,744,19.1,25.8,22.999,1.292
11,2001,1,719,20.2,27.5,24.698,1.167
12,2001,1,743,22.8,29,25.567,1.242
1,2002,0,744,23.3,29.3,26.74,1.244
2,2002,1,671,23.3,31.4,27.499,1.523
3,2002,0,744,23.7,30.3,27.439,1.2
4,2002,0,720,22.7,30,26.409,1.45
5,2002,0,744,19.8,27.3,24.612,1.382
6,2002,0,720,19.7,27.5,23.542,1.412
7,2002,0,744,18.4,25.8,22.024,1.529
8,2002,0,744,17.8,24.6,21.252,1.612
9,2002,0,720,17.8,26.3,22.047,1.734
10,2002,0,744,17.2,26.7,22.625,1.814
11,2002,0,720,20,27.3,23.3,1.21
12,2002,148,596,22.1,27.5,25,1.022
1,2003,3,741,22.9,30,26.69,1.302
2,2003,0,672,22,29.4,26.338,1.342
3,2003,0,744,22.8,29.1,26.434,1.106
4,2003,0,720,21.7,28.9,25.679,1.354
5,2003,0,744,19.8,27.9,24.817,1.456
6,2003,1,719,17.8,25.9,22.406,1.506
7,2003,6,738,18.1,24.7,21.586,1.493
8,2003,0,744,16.3,25.1,20.71,1.748
9,2003,3,717,18,26.6,22.224,1.637
10,2003,0,744,18.4,26,22.405,1.455
11,2003,0,720,20.1,27.6,23.732,1.442
12,2003,68,676,22.5,28,25.307,1.048
1,2004,191,553,22.1,28.3,25.327,1.412
2,2004,0,696,23.8,30.6,27.552,1.159
3,2004,0,744,21.8,29.5,27.053,1.362
4,2004,0,720,21.7,28,25.505,1.398
5,2004,0,744,18,27.5,24.129,1.492
6,2004,0,720,19.1,26.6,23.219,1.41
7,2004,0,744,18.8,25.2,22.167,1.45
8,2004,0,744,16.8,24.3,21.283,1.623
9,2004,0,720,17.1,24.7,21.224,1.377
10,2004,0,744,18.5,26.9,22.879,1.488
11,2004,0,720,20,27.1,23.667,1.378
12,2004,0,744,21.4,29.6,25.807,1.355
1,2005,0,744,23.7,30.2,26.97,1.079
2,2005,16,656,24.1,29.8,26.994,1.193
3,2005,4,740,22.3,30.1,26.27,1.256
4,2005,0,720,20,29.3,25.242,1.835
5,2005,0,744,20.3,27.7,24.147,1.497
6,2005,0,720,18.1,25.5,22.073,1.516
7,2005,0,744,17.7,25.1,21.294,1.592
8,2005,1,743,16,24.9,21.066,1.714
9,2005,0,720,16.8,26.4,22.383,1.544
10,2005,0,744,18.8,28.1,24.041,1.916
11,2005,2,718,20.5,28.1,24.628,1.441
12,2005,0,744,22.5,29.8,25.961,1.301
1,2006,0,744,22.5,29.2,26.455,1.181
2,2006,1,671,22.9,30.7,26.873,1.461
3,2006,0,744,22.7,30.3,27.482,1.41
4,2006,0,720,22.9,30.1,26.852,1.423
5,2006,0,744,19.2,28.1,24.333,1.613
6,2006,0,720,18.5,26.1,22.743,1.595
7,2006,0,744,16.1,24.5,21.096,1.455
8,2006,0,744,18,25.4,22.031,1.481
9,2006,0,720,18.8,26,22.419,1.393
10,2006,0,744,18.1,25.7,22.305,1.64
11,2006,0,720,19.7,27.8,24.422,1.466
12,2006,0,744,20.7,28.4,24.512,1.357
1,2007,0,744,22,28.8,25.799,1.193
2,2007,0,672,22.3,29.5,26.407,1.164
3,2007,0,744,23.9,29.1,26.267,1.034
4,2007,0,720,22.3,28.8,25.476,1.242
5,2007,0,744,20.8,27.6,24.259,1.429
6,2007,0,720,19.9,26.5,23.433,1.454
7,2007,0,744,18.8,26.6,22.894,1.466
8,2007,0,744,18.4,26.1,22.396,1.47
9,2007,0,720,19.8,26.9,23.552,1.561
10,2007,2,742,19.7,27.9,24.372,1.41
11,2007,0,720,20.5,28,24.723,1.338
12,2007,0,744,21.6,28.2,25.52,1.158
1,2008,0,744,22.7,28.4,25.771,0.997
2,2008,0,696,23.1,29.5,26.862,1.132
3,2008,0,744,22.1,29.4,26.523,1.389
4,2008,0,720,22,28.6,26.061,1.15
5,2008,0,744,19.6,27.2,23.715,1.59
6,2008,1,719,19.6,25.7,23.288,1.13
