Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
1,1993,480,264,25.4,25.8,25.555,0.086
2,1993,0,672,25.7,29.1,27.009,0.719
3,1993,0,744,26.4,30.3,27.395,0.712
4,1993,0,720,24.9,29,26.21,0.956
5,1993,0,744,23.4,26.7,24.646,0.821
6,1993,0,720,23.2,24.9,23.749,0.356
7,1993,0,744,21.3,23.5,22.312,0.53
8,1993,0,744,21.5,23.4,22.414,0.317
9,1993,0,720,21.8,24.5,22.517,0.55
10,1993,1,743,22.2,25.2,23.11,0.69
11,1993,96,624,24.2,27.5,25.71,0.91
12,1993,2,742,25.5,29.5,26.997,0.747
1,1994,0,744,26,29.5,26.899,0.707
2,1994,0,672,27.4,29.6,28.129,0.423
3,1994,0,744,25.8,29.9,27.19,0.811
4,1994,0,720,24.1,26.6,25.783,0.452
5,1994,0,744,23.6,26.1,24.249,0.376
6,1994,0,720,22.1,23.7,22.7,0.375
7,1994,3,741,21.6,24.3,22.173,0.431
8,1994,1,743,21.8,24.4,22.581,0.448
9,1994,0,720,21.8,24.4,22.409,0.364
10,1994,0,744,22.8,25.7,23.876,0.422
11,1994,1,719,23.9,26.5,24.67,0.613
12,1994,5,739,25.3,27.5,25.879,0.287
1,1995,0,744,25.7,27.5,26.054,0.209
2,1995,2,670,26.2,29.2,27.337,0.459
3,1995,3,741,26.2,29.3,27.28,0.478
4,1995,6,714,25.2,28.5,26.667,0.967
5,1995,2,742,24.1,26,24.866,0.462
6,1995,5,715,23.4,25.4,24.284,0.371
7,1995,4,740,23.5,25.6,23.953,0.286
8,1995,7,737,22.3,25.9,23.441,0.738
9,1995,7,713,22.2,23.7,22.921,0.353
10,1995,5,739,23.5,25.8,24.569,0.49
11,1995,13,707,24.9,26.8,25.527,0.368
12,1995,12,732,25.5,29.8,26.676,1.041
1,1996,12,732,25.9,28.3,26.967,0.452
2,1996,0,696,27,29.4,27.744,0.604
3,1996,0,744,26.8,29.2,27.823,0.573
4,1996,720,0,,,,
5,1996,744,0,,,,
6,1996,720,0,,,,
7,1996,744,0,,,,
8,1996,744,0,,,,
9,1996,264,456,20.9,23.7,22.129,0.49
10,1996,744,0,,,,
11,1996,120,600,24.2,28.5,25.59,1.022
12,1996,2,742,26.2,29.1,27.065,0.596
1,1997,23,721,26.7,29.6,27.812,0.599
2,1997,1,671,26.6,29.7,27.917,0.584
3,1997,30,714,27.2,28.8,27.834,0.427
4,1997,3,717,25.3,28.2,26.544,0.654
5,1997,11,733,24.1,26,24.903,0.5
6,1997,6,714,22.6,24.7,23.521,0.465
7,1997,14,730,21.7,24.6,22.94,0.595
8,1997,4,740,21.5,24.3,22.001,0.223
9,1997,2,718,21.7,23.3,22.27,0.289
10,1997,11,733,22.7,25,23.563,0.55
11,1997,0,720,23.8,26.9,24.695,0.609
12,1997,1,743,25.1,27.3,25.749,0.454
1,1998,1,743,25.6,28.9,26.39,0.443
2,1998,4,668,25.5,26.7,26.025,0.306
3,1998,3,741,25.3,27.6,26.398,0.595
4,1998,2,718,26.2,26.9,26.458,0.138
5,1998,1,743,24.8,26.6,25.585,0.461
6,1998,21,699,23.9,25,24.515,0.2
7,1998,1,743,22.6,24.4,23.34,0.398
8,1998,1,743,22.4,24.9,23.555,0.514
9,1998,0,720,22.5,23.5,22.902,0.209
10,1998,1,743,23.2,26.9,24.301,0.598
11,1998,1,719,25.2,28.1,26.378,0.618
12,1998,1,743,26,29.1,27.278,0.552
1,1999,0,744,25.5,29.1,27.231,0.834
2,1999,1,671,26.5,29.2,27.501,0.718
3,1999,1,743,26.5,29,27.297,0.533
4,1999,0,720,26.1,29.2,27.055,0.445
5,1999,0,744,22.9,27.4,25.079,1.281
6,1999,0,720,23.4,25.2,24.249,0.354
7,1999,1,743,23.2,25.1,23.998,0.424
8,1999,1,743,22.6,24.2,23.407,0.41
9,1999,0,720,22,24.4,23.104,0.489
10,1999,1,743,22.6,25.6,23.892,0.554
11,1999,0,720,23.7,28.8,25.624,0.914
12,1999,3,741,25.5,28.9,26.848,0.864
1,2000,1,743,27,29.1,28.011,0.451
2,2000,0,696,26.8,30.5,28.415,0.766
3,2000,0,744,27.2,29.9,28.721,0.598
4,2000,3,717,26.1,29.7,27.709,0.568
5,2000,0,744,25.2,27,26.19,0.35
6,2000,1,719,23.5,25.7,24.579,0.554
7,2000,0,744,22.5,24.3,23.475,0.494
8,2000,0,744,22.2,24.9,22.916,0.426
9,2000,0,720,22.6,25.7,23.769,0.511
10,2000,0,744,22.6,26.5,23.598,0.571
11,2000,0,720,23.8,29.3,25.618,1.119
12,2000,0,744,25.6,29,26.635,0.587
1,2001,419,325,26.7,29.8,28.052,0.59
2,2001,1,671,27.1,30.1,28.496,0.378
3,2001,0,744,26.6,29.2,27.227,0.471
4,2001,0,720,25.4,28.7,26.746,0.772
5,2001,0,744,24.9,25.9,25.349,0.219
6,2001,0,720,23.2,25.9,24.189,0.429
7,2001,0,744,22.3,24.8,23.476,0.487
8,2001,1,743,22.6,25.2,23.337,0.454
9,2001,14,706,23,25.2,23.877,0.288
10,2001,0,744,22.7,25.6,24.064,0.59
11,2001,1,719,24.8,27.3,25.774,0.4
12,2001,1,743,25.2,28.5,26.362,0.901
1,2002,0,744,26.5,29.2,27.847,0.641
2,2002,1,671,27.1,30.2,28.301,0.778
3,2002,0,744,27.3,30.3,28.041,0.481
4,2002,0,720,25.6,29.7,27.249,1.061
5,2002,1,743,25.3,26.6,25.861,0.253
6,2002,0,720,23.9,26.2,24.842,0.483
7,2002,0,744,22.7,25.5,23.775,0.546
8,2002,0,744,22.3,24.2,22.79,0.288
9,2002,0,720,22.4,25.2,23.227,0.582
10,2002,0,744,22.8,26.1,23.783,0.698
11,2002,0,720,24.1,25.1,24.495,0.187
12,2002,150,594,24.4,27.3,25.495,0.457
1,2003,482,262,26,27.7,26.764,0.474
2,2003,0,672,25.4,28.3,26.658,0.643
3,2003,0,744,26.2,29.3,27.275,0.699
4,2003,0,720,25.6,28,26.846,0.418
5,2003,0,744,24.6,27.2,25.699,0.643
6,2003,1,719,23,24.8,23.963,0.398
7,2003,6,738,22.2,24.6,22.993,0.589
8,2003,0,744,22.1,23.8,22.678,0.209
9,2003,3,717,22.3,25.2,23.433,0.607
10,2003,0,744,22.9,25.7,23.579,0.453
11,2003,0,720,23.8,26.9,24.785,0.554
12,2003,69,675,25.2,27,25.901,0.436
1,2004,191,553,25.8,27.7,26.447,0.326
2,2004,0,696,26.6,30,28.232,0.641
3,2004,1,743,27.4,29.6,28.332,0.403
4,2004,0,720,26,28,26.526,0.372
5,2004,0,744,25.3,26.3,25.703,0.207
6,2004,0,720,23.5,25.4,24.342,0.435
7,2004,0,744,22.9,24.1,23.422,0.271
8,2004,0,744,22.1,23.5,22.885,0.252
9,2004,0,720,21.8,23.8,22.444,0.329
10,2004,0,744,22.9,24.6,23.729,0.348
11,2004,0,720,23.8,25.8,24.641,0.444
12,2004,0,744,25,28.4,26.343,0.805
