Mth,Year,Gaps,Good,Minimum,Maximum,Mean,St Devn
1,1993,336,408,26.9,28.2,27.528,0.214
2,1993,0,672,27.1,29.6,28.107,0.477
3,1993,0,744,27.2,29.9,28.704,0.62
4,1993,664,56,27.3,27.8,27.491,0.164
5,1993,744,0,,,,
6,1993,720,0,,,,
7,1993,744,0,,,,
8,1993,744,0,,,,
9,1993,720,0,,,,
10,1993,744,0,,,,
11,1993,720,0,,,,
12,1993,744,0,,,,
1,1994,600,144,26.8,27.8,27.438,0.17
2,1994,0,672,26.7,28.7,27.785,0.495
3,1994,0,744,26.3,29.9,28.257,0.758
4,1994,0,720,26,28.6,27.035,0.471
5,1994,0,744,25.6,27.4,26.498,0.25
6,1994,0,720,24.9,27.9,25.52,0.309
7,1994,0,744,23.5,25.6,24.524,0.347
8,1994,0,744,24,25.7,24.679,0.333
9,1994,1,719,23.3,25.4,24.125,0.492
10,1994,0,744,24.7,25.9,25.1,0.21
11,1994,5,715,24.9,27.1,25.678,0.471
12,1994,6,738,25.9,27.8,26.557,0.395
1,1995,1,743,27.1,29.1,27.955,0.445
2,1995,8,664,27.8,30.1,28.624,0.496
3,1995,7,737,27.6,30.7,29.077,0.681
4,1995,14,706,27.8,30,28.88,0.392
5,1995,7,737,26.2,27.9,26.958,0.405
6,1995,6,714,24.5,26.5,25.742,0.284
7,1995,2,742,24.4,26.4,25.25,0.405
8,1995,8,736,23.3,26,24.201,0.648
9,1995,9,711,24.1,26.8,25.339,0.597
10,1995,8,736,25.7,27.4,26.29,0.3
11,1995,10,710,25.6,28.3,26.743,0.529
12,1995,8,736,26.6,29.8,27.901,0.727
1,1996,9,735,27.6,30.1,28.903,0.417
2,1996,0,696,27.7,30.1,29.256,0.362
3,1996,0,744,27.2,30.7,28.678,0.848
4,1996,1,719,27.4,29.3,28.184,0.353
5,1996,2,742,25.8,28.5,27.252,0.374
6,1996,0,720,25.1,27,26.004,0.261
7,1996,1,743,24.5,26.9,25.805,0.573
8,1996,1,743,24.1,25.6,24.871,0.186
9,1996,0,720,25.2,26.6,25.805,0.311
10,1996,0,744,26.1,27.5,26.462,0.268
11,1996,1,719,25.9,28.8,26.77,0.746
12,1996,0,744,27.3,29.1,27.935,0.351
1,1997,0,744,27.6,29.4,28.193,0.336
2,1997,2,670,27.8,30.6,28.857,0.527
3,1997,25,719,28.6,30.7,29.554,0.367
4,1997,3,717,26.9,29.9,28.354,0.789
5,1997,8,736,25.6,27.8,26.803,0.347
6,1997,1,719,25.2,26.7,25.81,0.264
7,1997,10,734,24.5,26.6,25.405,0.393
8,1997,1,743,23.8,25.5,24.837,0.276
9,1997,1,719,23.9,25,24.533,0.21
10,1997,4,740,24.4,25.8,25.026,0.288
11,1997,0,720,24.8,27,25.83,0.416
12,1997,0,744,26.2,29.2,27.403,0.762
1,1998,0,744,26.6,28.7,27.469,0.452
2,1998,0,672,27.2,29.7,28.407,0.622
3,1998,1,743,27.2,30.6,28.786,0.647
4,1998,2,718,27.7,29,28.348,0.219
5,1998,0,744,26.9,28.5,27.705,0.369
6,1998,0,720,25.1,27.4,26.562,0.392
7,1998,1,743,25.5,26.9,25.967,0.274
8,1998,2,742,25.5,26.6,25.939,0.212
9,1998,3,717,25.3,27,25.957,0.381
10,1998,0,744,26.1,28.2,27.135,0.368
11,1998,0,720,26.7,29.3,27.818,0.524
12,1998,0,744,27.9,30.4,29.106,0.469
1,1999,72,672,27.5,30.6,29.367,0.512
2,1999,390,282,28.4,29.6,28.932,0.294
3,1999,3,741,28.1,30.2,29.095,0.435
4,1999,0,720,28,30.1,28.981,0.366
5,1999,0,744,26.5,28.7,27.464,0.635
6,1999,0,720,25.2,26.8,26.076,0.283
7,1999,0,744,24,27.2,25.986,0.469
8,1999,0,744,25,26.8,25.921,0.336
9,1999,0,720,25.3,27.3,26.217,0.298
10,1999,0,744,25.5,27.3,26.441,0.331
11,1999,0,720,26.4,28.6,27.616,0.415
12,1999,0,744,26.7,30.3,28.084,0.675
